Year,SOC Code,Job Title,Description,Job Automation Index,Job Automation Index Rank,Job Automation Index Percentile,Race with the Machine,Race with the Machine Rank,Race with the Machine Percentile,Race ahead of the Machine,Race ahead of the Machine Rank,Race ahead of the Machine Percentile,Changing the Course of the Race,Changing the Course of the Race Rank,Changing the Course of the Race Percentile,Race against the Machine,Race against the Machine Rank,Race against the Machine Percentile,Running a Different Race,Running a Different Race Rank,Running a Different Race Percentile,Employment,Employment Rank,Employment Percentile,Annual Wage,Annual Wage Rank,Annual Wage Percentile,Job Automation Index Change,Job Automation Index Change Rank,Job Automation Index Change Percentile,Race with the Machine Change,Race with the Machine Change Rank,Race with the Machine Change Percentile,Race ahead of the Machine Change,Race ahead of the Machine Change Rank,Race ahead of the Machine Change Percentile,Changing the Course of the Race Change,Changing the Course of the Race Change Rank,Changing the Course of the Race Change Percentile,Race against the Machine Change,Race against the Machine Change Rank,Race against the Machine Change Percentile,Running a Different Race Change,Running a Different Race Change Rank,Running a Different Race Change Percentile,Wage Share Change,Wage Share Change Rank,Wage Share Change Percentile
2008,00-0000,TOTAL AVERAGE,Average of all occupations,0.486742521854,,Top 50%,0.09732700253216298,,Top 50%,0.10735386293116418,,Top 50%,0.09268648459264882,,Top 50%,0.06135485048845481,,Top 50%,0.12802032130930355,,Top 50%,135185230.0,,,42270.0,,Top 50%,,,,,,,,,,,,,,,,,,,,,
2008,11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",0.476326630044,424.0,Bottom 35%,0.18948492788621557,65.0,Top 10%,0.16822321512825147,168.0,Top 30%,0.09633170969508714,264.0,Top 45%,0.0,544.0,Bottom 20%,0.02228677733483464,499.0,Bottom 25%,301930.0,92.0,Top 15%,160440.0,11.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",0.474383644591,449.0,Bottom 35%,0.20903048928247275,40.0,Top 10%,0.15641545085377911,200.0,Top 35%,0.04683211851966625,493.0,Bottom 25%,0.0031826644930742828,505.0,Bottom 25%,0.05892292144199875,390.0,Bottom 45%,1697690.0,13.0,Top 5%,107970.0,30.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",0.473578649615,459.0,Bottom 30%,0.1894584772334154,66.0,Top 15%,0.16266442310646,186.0,Top 30%,0.09647196970588032,261.0,Top 45%,0.007108497910781833,465.0,Bottom 30%,0.017875281658944565,515.0,Bottom 25%,36100.0,395.0,Bottom 40%,94720.0,47.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm’s profits or share of the market while ensuring the firm’s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.47498919783,444.0,Bottom 35%,0.17903485937978864,85.0,Top 15%,0.20546624685049825,91.0,Top 15%,0.0794809241388529,323.0,Top 50%,0.0,545.0,Bottom 20%,0.011007167461256788,560.0,Bottom 15%,166790.0,160.0,Top 25%,118160.0,23.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.464870258155,547.0,Bottom 20%,0.1997630403822843,52.0,Top 10%,0.1818214594544421,141.0,Top 25%,0.04257760385672137,514.0,Bottom 25%,0.0004207488007910958,539.0,Bottom 20%,0.04028740566070561,438.0,Bottom 35%,333910.0,84.0,Top 15%,110390.0,28.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-2030,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",0.464778814776,549.0,Bottom 20%,0.18033001387761521,81.0,Top 15%,0.193743906497064,113.0,Top 20%,0.0757525033731644,340.0,Bottom 50%,0.0,546.0,Bottom 20%,0.014952391028033656,537.0,Bottom 20%,51730.0,336.0,Bottom 50%,101220.0,35.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-3010,Administrative Services and Facilities Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.  Medical records administrators are included in “Medical and Health Services Managers” (11-9111).  Excludes “Purchasing Managers"" (11-3061).",0.479082650173,387.0,Bottom 45%,0.24455571657913733,11.0,Top 5%,0.1652297196409414,177.0,Top 30%,0.04717609782400362,490.0,Bottom 25%,0.001593114139562335,522.0,Bottom 20%,0.020528001989053156,506.0,Bottom 25%,246930.0,117.0,Top 20%,79500.0,92.0,Top 15%,,,,,,,,,,,,,,,,,,,,,
2008,11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Excludes “Computer Occupations” (15-1211 through 15-1299).",0.486285162577,306.0,Top 50%,0.14695137652260412,173.0,Top 30%,0.18054470025007874,149.0,Top 25%,0.12350290019132987,171.0,Top 30%,0.0,547.0,Bottom 20%,0.03528618561322791,453.0,Bottom 35%,276820.0,101.0,Top 20%,118710.0,22.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment. Excludes “Financial Risk Specialists” (13-2054).",0.495143273247,222.0,Top 35%,0.17162519723140857,107.0,Top 20%,0.1644571943022063,180.0,Top 30%,0.15190958876919225,104.0,Top 20%,2.115393172517752e-06,543.0,Bottom 20%,0.0071491775507453335,584.0,Bottom 15%,500590.0,57.0,Top 10%,110640.0,27.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",0.48752094542,292.0,Top 45%,0.18273715585512745,77.0,Top 15%,0.09966344367204809,319.0,Top 50%,0.09361564704369862,279.0,Top 45%,0.00986772635794068,449.0,Bottom 35%,0.10163697249132501,325.0,Top 50%,154030.0,172.0,Top 30%,91200.0,55.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",0.491265664108,257.0,Top 40%,0.16169158669277184,131.0,Top 25%,0.12211697842413577,281.0,Top 45%,0.13994382026572072,126.0,Top 20%,0.016607391490609382,419.0,Bottom 40%,0.050905887235088675,416.0,Bottom 40%,67150.0,295.0,Top 50%,94300.0,48.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",0.485925907921,308.0,Top 50%,0.21822744700193672,28.0,Top 5%,0.13975929209029006,244.0,Top 40%,0.10366337399890464,240.0,Top 40%,0.0,548.0,Bottom 20%,0.024275794830190517,492.0,Bottom 25%,96300.0,243.0,Top 40%,84520.0,74.0,Top 15%,,,,,,,,,,,,,,,,,,,,,
2008,11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization. Job analysis and position description managers are included in “Human Resources Managers” (11-3121).",0.493068377396,240.0,Top 40%,0.15625907588726048,145.0,Top 25%,0.2144501463505251,79.0,Top 15%,0.1223591551581762,175.0,Top 30%,0.0,549.0,Bottom 20%,0.0,629.0,Bottom 5%,38810.0,385.0,Bottom 45%,93410.0,51.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",0.462890330641,562.0,Bottom 15%,0.19608457821972114,57.0,Top 10%,0.1935687032619274,116.0,Top 20%,0.05954876519254221,432.0,Bottom 35%,0.0,550.0,Bottom 20%,0.013688283966437195,540.0,Bottom 20%,29350.0,430.0,Bottom 35%,93830.0,50.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",0.485849941707,309.0,Top 50%,0.1347261397865597,202.0,Top 35%,0.11716900477081157,289.0,Top 45%,0.10754107010676073,229.0,Top 40%,0.001971781991159412,514.0,Bottom 25%,0.12444194505146591,285.0,Top 45%,220550.0,131.0,Top 25%,89770.0,59.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care. Excludes “Preschool Teachers, Except Special Education” (25-2011) and “Childcare Workers” (39-9011).",0.45838937141,592.0,Bottom 10%,0.22530518796867016,18.0,Top 5%,0.1341607661597933,259.0,Top 40%,0.06363536217199925,406.0,Bottom 40%,0.00866974751835776,454.0,Bottom 35%,0.026618307591089168,486.0,Bottom 30%,49630.0,343.0,Bottom 50%,46370.0,303.0,Top 50%,,,,,,,,,,,,,,,,,,,,,
2008,11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",0.468855474988,509.0,Bottom 25%,0.21617672331050486,32.0,Top 5%,0.17488257430200196,159.0,Top 25%,0.06310885354321029,410.0,Bottom 40%,0.001120335801867089,529.0,Bottom 20%,0.013566988030425404,541.0,Bottom 20%,219100.0,132.0,Top 25%,86060.0,70.0,Top 15%,,,,,,,,,,,,,,,,,,,,,
2008,11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",0.470035065871,494.0,Bottom 25%,0.19762542085168588,56.0,Top 10%,0.18774806453129184,131.0,Top 25%,0.07814855656111416,331.0,Bottom 50%,0.0,551.0,Bottom 20%,0.006513023926650971,591.0,Bottom 10%,97410.0,239.0,Top 40%,92920.0,53.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Excludes “Natural Sciences Managers” (11-9121).",0.485336242421,314.0,Top 50%,0.16135883634442977,132.0,Top 25%,0.16725849360082484,171.0,Top 30%,0.11818552155880319,193.0,Top 30%,0.0,552.0,Bottom 20%,0.038533390917011266,447.0,Bottom 35%,182300.0,153.0,Top 25%,120580.0,19.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages. Excludes “Chefs and Head Cooks” (35-1011).",0.474995720095,442.0,Bottom 35%,0.20565112658245094,45.0,Top 10%,0.07340658078862161,366.0,Bottom 45%,0.08468131539815096,305.0,Top 50%,0.040415898822713306,331.0,Bottom 50%,0.07084079850259636,368.0,Bottom 45%,196080.0,144.0,Top 25%,50320.0,264.0,Top 45%,,,,,,,,,,,,,,,,,,,,,
2008,11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",0.480804351158,361.0,Bottom 45%,0.2099809452543816,37.0,Top 10%,0.12050196664708586,282.0,Top 45%,0.0962358227725921,266.0,Top 45%,0.024062142982795815,390.0,Bottom 45%,0.030023473501458713,476.0,Bottom 30%,3790.0,633.0,Bottom 5%,73480.0,122.0,Top 20%,,,,,,,,,,,,,,,,,,,,,
2008,11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations. Excludes “Food Service Managers” (11-9051) in lodging establishments.",0.468391297796,513.0,Bottom 25%,0.22429889824159494,20.0,Top 5%,0.16552141084885091,176.0,Top 30%,0.06675147588600588,388.0,Bottom 45%,0.0,553.0,Bottom 20%,0.011819512819747156,556.0,Bottom 15%,32460.0,413.0,Bottom 40%,52550.0,251.0,Top 40%,,,,,,,,,,,,,,,,,,,,,
2008,11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",0.477729974233,408.0,Bottom 40%,0.21428256398366116,34.0,Top 10%,0.16009633164045595,192.0,Top 30%,0.09677637095783462,257.0,Top 40%,0.0,554.0,Bottom 15%,0.006574707650890048,589.0,Bottom 10%,258130.0,111.0,Top 20%,88750.0,64.0,Top 10%,,,,,,,,,,,,,,,,,,,,,
2008,11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields. Excludes “Computer and Information Systems Managers” (11-3021) and “Architecture and Engineering Managers” (11-9041).",0.483779976452,333.0,Bottom 50%,0.14250600642313144,186.0,Top 30%,0.18859685360960474,130.0,Top 20%,0.11777428728277876,197.0,Top 35%,0.0,555.0,Bottom 15%,0.03490282913653742,456.0,Bottom 30%,43060.0,366.0,Bottom 45%,123140.0,18.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",0.484105868352,330.0,Bottom 50%,0.20577914873773334,44.0,Top 10%,0.13545996933650428,255.0,Top 40%,0.10834601456066616,227.0,Top 35%,0.00720273810301074,464.0,Bottom 30%,0.027317997613638186,483.0,Bottom 30%,26410.0,439.0,Bottom 35%,59150.0,200.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",0.48571957554,311.0,Top 50%,0.261006199566044,7.0,Top 5%,0.13554831520434574,254.0,Top 40%,0.05476429229904782,454.0,Bottom 35%,0.0,556.0,Bottom 15%,0.03440076847010315,459.0,Bottom 30%,159700.0,169.0,Top 30%,56250.0,216.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization’s budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",0.46946826711,502.0,Bottom 25%,0.1937187774770898,60.0,Top 10%,0.1777028957937461,156.0,Top 25%,0.08352878998141625,310.0,Top 50%,0.0018638814497033455,516.0,Bottom 25%,0.012653922408148778,546.0,Bottom 20%,117150.0,203.0,Top 35%,60570.0,187.0,Top 30%,,,,,,,,,,,,,,,,,,,,,
2008,11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",0.47879921791,394.0,Bottom 40%,0.16454321939905087,124.0,Top 20%,0.16882497644280298,167.0,Top 30%,0.10884384082609683,224.0,Top 35%,0.0,557.0,Bottom 15%,0.036587181242511334,451.0,Bottom 35%,12260.0,555.0,Bottom 15%,53460.0,239.0,Top 40%,,,,,,,,,,,,,,,,,,,,,
2008,11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes “Morticians, Undertakers, and Funeral Arrangers” (39-4031).",0.478942993043,391.0,Bottom 40%,0.19262861247136379,62.0,Top 10%,0.07212082231275747,371.0,Bottom 45%,0.07279448027554475,356.0,Bottom 50%,0.025064944906875792,385.0,Bottom 45%,0.11633413307663422,294.0,Top 50%,25680.0,448.0,Bottom 35%,58810.0,204.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",0.470127275388,492.0,Bottom 25%,0.2108463942260342,36.0,Top 10%,0.1945271022674998,109.0,Top 20%,0.06120924029163854,420.0,Bottom 40%,0.0,558.0,Bottom 15%,0.003544538603173242,608.0,Bottom 10%,12110.0,556.0,Bottom 15%,81550.0,84.0,Top 15%,,,,,,,,,,,,,,,,,,,,,
2008,13-1020,Buyers and Purchasing Agents,"13-1021: Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.

13-1022: Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products. Excludes “Procurement Clerks” (43-3061).

13-1023: Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts. Excludes “Buyers and Purchasing Agents, Farm Products” (13-1021) and “Wholesale and Retail Buyers, Except Farm Products” (13-1022).",0.499193084552,175.0,Top 30%,0.1785061193222943,86.0,Top 15%,0.18124042241142702,144.0,Top 25%,0.1132584057460183,211.0,Top 35%,0.0,559.0,Bottom 15%,0.02618813707232494,489.0,Bottom 25%,432420.0,66.0,Top 15%,171930.0,8.0,Top 5%,,,,,,,,,,,,,,,,,,,,,
2008,13-1031,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims. Excludes “Fire Inspectors and Investigators” (33-2021).,0.509606190648,97.0,Top 15%,0.1556936371212948,146.0,Top 25%,0.19270785287982628,118.0,Top 20%,0.1516173870607364,105.0,Top 20%,0.005241360717712325,487.0,Bottom 30%,0.0043459528683436905,604.0,Bottom 10%,277230.0,100.0,Top 20%,57550.0,209.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,13-1032,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,0.480621354338,364.0,Bottom 45%,0.1530175884099383,156.0,Top 25%,0.17157290454826754,165.0,Top 30%,0.04407501187002996,504.0,Bottom 25%,0.0023534408274157198,512.0,Bottom 25%,0.1096024086824962,302.0,Top 50%,11280.0,561.0,Bottom 15%,53980.0,230.0,Top 40%,,,,,,,,,,,,,,,,,,,,,
2008,13-1041,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere. Excludes “Financial Examiners"" (13-2061), “Tax Examiners and Collectors, and Revenue Agents” (13-2081), “Occupational Health and Safety Specialists” (19-5011), “Occupational Health and Safety Technicians” (19-5012), “Transportation Security Screeners” (33-9093), “Agricultural Inspectors” (45-2011), “Construction and Building Inspectors” (47-4011), and “Transportation Inspectors” (53-6051).",0.49346138658,237.0,Top 40%,0.11636217104372093,248.0,Top 40%,0.12729414993147514,269.0,Top 45%,0.1793046751278664,64.0,Top 10%,0.004224762070581871,492.0,Bottom 25%,0.0662756284064463,378.0,Bottom 45%,242270.0,121.0,Top 20%,53760.0,233.0,Top 40%,,,,,,,,,,,,,,,,,,,,,
2008,13-1051,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",0.513786870568,80.0,Top 15%,0.10525931524282055,282.0,Top 45%,0.17996817991783753,151.0,Top 25%,0.1982161986583522,42.0,Top 10%,0.0,560.0,Bottom 15%,0.030343176748960202,474.0,Bottom 30%,218400.0,133.0,Top 25%,60320.0,191.0,Top 30%,,,,,,,,,,,,,,,,,,,,,
2008,13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas. Excludes “Compensation, Benefits, and Job Analysis Specialists” (13-1141) and “Training and Development Specialists” (13-1151).",0.476274292657,427.0,Bottom 35%,0.225028264275274,19.0,Top 5%,0.17870591066052693,155.0,Top 25%,0.07160396633275914,362.0,Bottom 45%,0.0009361513885073439,533.0,Bottom 20%,0.0,630.0,Bottom 5%,205800.0,140.0,Top 25%,53870.0,231.0,Top 40%,,,,,,,,,,,,,,,,,,,,,
2008,13-1081,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources. Excludes “Transportation, Storage, and Distribution Managers” (11-3071) and “Project Management Specialists” (13-1082).",0.481458041395,355.0,Bottom 50%,0.14541820204930753,178.0,Top 30%,0.19083900799160242,123.0,Top 20%,0.1198069223883293,191.0,Top 30%,0.003322719201249055,502.0,Bottom 25%,0.022071189764253568,500.0,Bottom 25%,98590.0,235.0,Top 40%,68600.0,137.0,Top 25%,,,,,,,,,,,,,,,,,,,,,
2008,13-1111,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants. Excludes “Computer Systems Analysts” (15-1211) and “Operations Research Analysts” (15-2031).",0.489450868113,271.0,Top 45%,0.11447942009161696,250.0,Top 40%,0.19666895391998732,105.0,Top 20%,0.10930493795615193,221.0,Top 35%,0.0,561.0,Bottom 15%,0.06899755614565307,373.0,Bottom 45%,535850.0,53.0,Top 10%,82920.0,78.0,Top 15%,,,,,,,,,,,,,,,,,,,,,
2008,13-1121,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",0.47922314559,381.0,Bottom 45%,0.1883841642663257,70.0,Top 15%,0.16037871920120983,191.0,Top 30%,0.05863518009281195,438.0,Bottom 35%,0.021086449812195786,399.0,Bottom 40%,0.050738632217116775,418.0,Bottom 40%,47960.0,346.0,Bottom 50%,47500.0,292.0,Top 45%,,,,,,,,,,,,,,,,,,,,,
2008,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",0.517832226857,62.0,Top 10%,0.1219265920611568,228.0,Top 40%,0.2016250337512122,98.0,Top 20%,0.1839320384242775,59.0,Top 10%,0.010348562619878026,448.0,Bottom 35%,0.0,631.0,Bottom 5%,116250.0,205.0,Top 35%,57060.0,214.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,13-1151,Training and Development Specialists,"Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness. Excludes “Career/Technical Education Teachers, Postsecondary” (25-1194) and “Other Teachers and Instructors” (25-3000). Flight instructors are included with “Aircraft Pilots and Flight Engineers” (53-2010).",0.468315254797,516.0,Bottom 25%,0.17372510865323063,98.0,Top 20%,0.20807537651799052,86.0,Top 15%,0.07692650594136934,335.0,Bottom 50%,0.0,562.0,Bottom 15%,0.009588263684351842,567.0,Bottom 15%,206890.0,139.0,Top 25%,54830.0,224.0,Top 35%,,,,,,,,,,,,,,,,,,,,,
2008,13-1161,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets. Excludes “Web and Digital Interface Designers” (15-1255), “Art Directors” (27-1011), “Graphic Designers” (27-1024), and “Public Relations Specialists” (27-3031).",0.500263712454,164.0,Top 30%,0.10822003986716999,270.0,Top 45%,0.2332429694569279,57.0,Top 10%,0.14326404104180326,117.0,Top 20%,0.0,563.0,Bottom 15%,0.015536662088584072,533.0,Bottom 20%,230070.0,126.0,Top 20%,67340.0,146.0,Top 25%,,,,,,,,,,,,,,,,,,,,,
