,Job Code,Job Title,Automation Index,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,Machine Control,General Physical Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Hazardous Task,Conflict Resolution,Management and Supervision
0,00-0000,TOTAL AVERAGE,0.4856890559192376,0.1017417729310668,0.05703133241650015,0.034340242224897316,0.010370198289669187,0.15273470568262565,0.04986627687932107,0.04234994516436106,0.02593287342947757,0.034585610209466,0.04971148583459045,0.024002236071041023,0.02570924976354937,0.18150109147095467,0.02721555003026673,0.028214743711680576,0.042525902459468766,0.031174850268578438,0.027695200468979702,0.02467484453198042
1,11-1011,Chief Executives,0.4738728726057958,0.14398027263522342,0.06360935201346847,0.06043522512265774,0.019935695499097215,0.1006505327035355,0.054769801255365964,0.041138315410297784,0.004742416037871761,0.0,0.10355398972861854,0.0540164330859919,0.04953755664262665,0.12568807753841835,0.0,0.008172808738721922,0.005558435546236562,0.003657995001666512,0.045461959869152295,0.06283687838264107
2,11-1021,General and Operations Managers,0.4724595228723768,0.16456390462997328,0.08409693546384632,0.05363068425671798,0.02683628490940897,0.06297807417540284,0.0202254503842057,0.026480102630389052,0.01627252116080809,0.0,0.07144744248644339,0.0413174773158316,0.030129965170611787,0.1734701015805573,0.003198179684306062,0.007989844033668984,0.027081926931018786,0.007548595189354595,0.052423500630931964,0.07522805511127692
3,11-2011,Advertising and Promotions Managers,0.4713114053581134,0.1879609526058741,0.08136960812347566,0.08350368238762193,0.023087662094776504,0.1009555969128472,0.04780101137046626,0.04825643638184126,0.002974826857827641,0.0019233223027120237,0.08024731377192745,0.03516653985434588,0.045080773917581585,0.10214754206746474,0.005231548962521158,0.004474064958982106,0.008880346176864472,0.0013851071917716552,0.02568589238349089,0.05649058239383445
4,11-2021,Marketing Managers,0.4718140905916811,0.17468427296137967,0.09362823428186763,0.061638517053607476,0.01941752162590455,0.08207366939885964,0.0379676528556215,0.04095241414563185,0.0031536023976063005,0.0,0.11036475336202016,0.058532457494381275,0.05183229586763887,0.1046913948694217,0.0,0.0073649632075855126,0.0002936244664911418,0.0,0.015937729645830657,0.08109507754951438
5,11-2022,Sales Managers,0.4623778424949096,0.1576547887536257,0.07144760111502249,0.08406046824133631,0.002146719397266896,0.042313159716406805,0.013610158084576005,0.0287030016318308,0.0,0.0,0.10916157949338988,0.053418759413000616,0.05574282008038925,0.1532483145314871,0.00042191672273573323,0.0,0.039603967169612016,0.0007583584539234552,0.022871089503788064,0.08959298268142782
6,11-2030,Public Relations and Fundraising Managers,0.462152356510421,0.21322564914320674,0.10116018891966873,0.09523368198983713,0.01683177823370092,0.08230928070354375,0.0252972721713946,0.05009102429136094,0.006920984240788216,0.0,0.09125357698620712,0.040243986790504206,0.05100959019570291,0.0753638496774634,0.0,0.0006406305774440465,0.0072424045874876376,0.0,0.027345022031422642,0.04013579248110908
7,11-3010,Administrative Services and Facilities Managers,0.4780129021649873,0.2706650003423777,0.12431708012508752,0.09577566678061578,0.05057225343667443,0.0532806267977514,0.023912600132434517,0.023244743894107314,0.006123282771209561,0.0,0.04031657931245532,0.018719523498424727,0.021597055814030597,0.11375069571240287,0.0016211693572169734,0.0,0.003758321190673397,0.01063940263202682,0.04238153200601248,0.05535027052647322
8,11-3021,Computer and Information Systems Managers,0.4837248319264436,0.13737812877729705,0.09049415463389517,0.03038418555915274,0.01649978858424916,0.13955370667141426,0.049619293627490055,0.07324914111780513,0.016685271926119075,0.0,0.08912179104058084,0.054031091674264016,0.03509069936631681,0.1176712054371514,0.0,0.01837570779391136,0.0,0.0,0.02391176350946884,0.0753837341337712
9,11-3031,Financial Managers,0.492626084649604,0.17783741945864426,0.086686944803352,0.06730482406986334,0.02384565058542893,0.1569356571572096,0.06546748667084026,0.08555513176521043,0.005910950736647263,2.0879845116570917e-06,0.07679122521234555,0.03280351561668652,0.04398770959565902,0.08106178282140453,0.0,0.0012197979221775575,0.0,0.0,0.036221799697692784,0.0436201852015342
