,Job Code,Job Title,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,General Physical Task,Machine Control,Hazardous Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Conflict Resolution,Management and Supervision
0,00-0000,TOTAL AVERAGE,0.00015108694748444673,0.0008884612514167696,-0.0008465697608042582,0.00010919545687210208,0.0015866679814818265,-0.0013150645232088698,-8.542013081216937e-05,0.0015824390892169304,0.0009686024117387047,0.0004361111345473345,-0.002452207072813413,-0.0019559466882836662,-0.0004962603845296912,0.004549877807999258,0.0021034141739527494,0.0006471380075278484,0.001172854888509725,0.0008654007485278184,-0.0002389300105187439
1,11-1011,Chief Executives,0.008988946838288492,0.0024662101140726783,0.006212714491224264,0.00031002223299152204,-0.004698151873009968,-0.017840691507352305,0.012714934857836813,0.0,0.0020116988125379546,-0.001584094036032436,-0.0068639829899025395,-0.0036143515722406937,-0.003249631417661845,0.0014704244088311056,0.0,-0.0062403613278257395,-0.0014605046030056208,-0.005189756849530887,0.014361047189193343
2,11-1021,General and Operations Managers,0.020342114345400064,-0.00825085185044129,0.02462735086064928,0.003965615335192102,0.014346330952347316,0.003897755616223075,0.010290568084259679,0.0,-0.0012517514728761624,0.0014097587247407142,-0.007912376512325958,-0.0047832306295612715,-0.003129145882764688,-0.023736804076532947,-0.0011910074552812875,-0.006921870487900288,-0.023928103680068074,-0.009424201031843243,0.01772837857855994
3,11-2011,Advertising and Promotions Managers,0.04317603350141744,0.031238994124853106,0.009176102198706472,0.0027609371778578515,-0.03191805666527371,-0.00316269003202202,-0.022472110280940368,-0.0019233223027120237,-0.002974826857827641,-0.0013851071917716552,0.019412047511448833,0.013460609196533892,0.005951438314914932,-0.029679908315275783,-0.005231548962521158,0.007044363686205225,-0.005620990448393527,-0.005060938808278175,-0.020810793782288152
4,11-2021,Marketing Managers,0.007584535681145116,-0.013231250300227287,0.015747831466704124,0.005067954514668297,-0.015593249081108469,-0.016031223806231072,-0.0026733453366805317,0.0,0.00311132006180313,0.0,0.003931336959501944,-0.0013817893905998108,0.0053131263501017476,-0.0020007102469924987,0.0,-0.001065573452193773,-6.536892623979802e-05,0.01102419129639782,-0.011893959164956752
5,11-2022,Sales Managers,0.010812597632905456,-0.007794042846078139,0.012156423794834878,0.006450216684148734,0.0034213532228353355,0.000669625056615341,0.0019367708148239973,0.0,0.001573315805319448,-0.0007583584539234552,0.008601902334162387,0.006140793248393325,0.002461109085769048,-0.026974004742467642,-0.00042191672273573323,0.0,-0.03414420886118279,0.002699648375893135,0.00489247246555774
6,11-2030,Public Relations and Fundraising Managers,0.0013285940771811386,-0.006122843161415259,-0.003927858388952182,0.01137929562754858,-0.009563678306398149,0.012047031450676876,-0.015885965510322862,0.0,-0.005724744246752165,0.0,0.0094206701952608,0.018591210499797662,-0.009170540304536866,0.004166993189599705,0.0,0.0005820385135290311,-0.005991178456516029,0.004773335635355116,0.00480279749723158
7,11-3010,Administrative Services and Facilities Managers,-0.08335881582606143,-0.03422346271362417,-0.025591243557973903,-0.02354410955446333,0.007591854816885373,-0.005280938487160294,0.01324155406888503,0.003126116343316791,0.0005424407455906031,-0.004037317853746756,0.02667505878919886,0.023092276149371288,0.0035827826398275725,0.04851710190631328,0.00012451280601880684,0.006793519519553453,0.0020088864532801865,-0.009371983452308249,0.048962166579769095
8,11-3021,Computer and Information Systems Managers,0.009452518535965376,-0.011538145286062064,0.010076786963637641,0.010913876858389793,-0.019378775257499647,-0.010037916591440649,-0.01368208802126993,0.0038628162447239367,0.000478413110486995,0.0,0.02027048990182008,0.015063067682949169,0.005207422218870918,-0.010741902765369044,0.0,-0.008700723170902536,0.0,-0.005628430211671157,0.003587250617204649
9,11-3031,Financial Managers,-0.01865347435570369,-0.009981398123424344,-0.009550809732096141,0.0008787334998167882,-0.03254265268471645,-0.007994479547443742,-0.020448474488490503,-2.0879845116570917e-06,-0.0040976106642705325,0.0,0.02215131573541948,0.016215587711295075,0.005935728024124419,0.020027904831376647,0.0,-0.0012197979221775575,0.0,-0.011248570682002402,0.0324962734355566
10,11-3051,Industrial Production Managers,0.016574408061371143,0.01075504140717996,0.010840742051452204,-0.005021375397261021,-0.02635326732428173,-0.00211431105203886,-0.0034804755333607967,0.0,-0.0019410642235392003,-0.018817416515342883,0.01022542799661444,-0.0006767423928485393,0.010902170389462978,-0.0029866579513727343,-0.0044325292860269636,0.004993692327647544,-0.00907267055765057,0.003935761352159291,0.0015890882124979524
