,Job Code,Job Title,Race with the Machine,Interpersonal Task,Group Task,Conflict Resolution,Management and Supervision,Race ahead of the Machine,Communication,Systems Analysis,Creative and Critical Thinking,Changing the Course of the Race,Routine Problem Solving,Information Processing,Race against the Machine,General Physical Task,Dynamic Physical Task,Running a Different Race,Equipment Maintenance,Vehicle and Equipment Operation,Machine Control,Hazardous Task
0,00-0000,TOTAL AVERAGE,0.09732700253216298,0.034447923720995116,0.010356383982179451,0.02772629792869358,0.024796396900294917,0.10735386293116418,0.05723923037003791,0.024173945583602703,0.025940686977523476,0.09268648459264882,0.049998805351722665,0.04268767924092602,0.061354850488454814,0.03436445404399858,0.02699039644445616,0.12802032130930355,0.028404761287298207,0.0425422966542128,0.02599042859601872,0.03108283477177395
1,11-1011,Chief Executives,0.1894849278862156,0.060741499519687214,0.019889540686341942,0.04568862154247828,0.06316526613770816,0.16822321512825147,0.06382745870247494,0.0543696618826516,0.05002609454312492,0.09633170969508714,0.0548551686580051,0.04147654103708204,0.0,0.0,0.0,0.02228677733483464,0.008271293602473927,0.0056127567461071405,0.0047524664752679815,0.003650260510985589
2,11-1021,General and Operations Managers,0.20903048928247275,0.05394168093328062,0.026746914133216882,0.0526767074047422,0.07566518681123305,0.15641545085377911,0.08438078498700786,0.04153402521738474,0.030500640649386512,0.04683211851966625,0.02014884090538097,0.026683277614285288,0.0031826644930742828,0.0,0.0031826644930742828,0.05892292144199875,0.008024817858834691,0.02695773248503051,0.016409241719645355,0.007531129378488195
3,11-2011,Advertising and Promotions Managers,0.1894584772334154,0.08376671266032518,0.023030257895673967,0.02586593901354586,0.05679556766387039,0.16266442310645998,0.08152849803788259,0.035437334042230866,0.04569859102634656,0.09647196970588033,0.04779921247148266,0.04867275723439765,0.007108497910781833,0.0019088857728646114,0.005199612137917221,0.017875281658944562,0.004577075711781866,0.008916181946352802,0.002999845489548183,0.001382178511261716
4,11-2021,Marketing Managers,0.17903485937978866,0.062011582804937994,0.01939499536062095,0.016071866216032734,0.08155641499819696,0.20546624685049825,0.09409514308214197,0.05881014854192464,0.05256095522643165,0.0794809241388529,0.0381424115244719,0.041338512614381005,0.0,0.0,0.0,0.011007167461256788,0.007526780436967939,0.0003002624723692226,0.0031801245519196253,0.0
5,11-2022,Sales Managers,0.1997630403822843,0.08454979398100429,0.002136108834299972,0.02305687997098461,0.09002025759599541,0.1818214594544421,0.07177883597964338,0.05366081096182799,0.05638181251297074,0.042577603856721366,0.01358453764414856,0.02899306621257281,0.0004207488007910958,0.0,0.0004207488007910958,0.040287405660705614,0.0,0.039531896128301366,0.0,0.0007555095324042434
6,11-2030,Public Relations and Fundraising Managers,0.1803300138776152,0.09571875993451234,0.016800616836133847,0.02745169047650834,0.040358946630460704,0.19374390649706402,0.10159943482014952,0.04054026154734147,0.05160421012957297,0.0757525033731644,0.02528870818487861,0.05046379518828579,0.0,0.0,0.0,0.014952391028033656,0.0006556197797509183,0.007311273164367842,0.0069854980839148964,0.0
7,11-3010,Administrative Services and Facilities Managers,0.2445557165791373,0.09597162904921172,0.05046738506505341,0.04249910763687729,0.05561759482799492,0.1652297196409414,0.12463249404742505,0.018872100559106302,0.021725125034410042,0.047176097824003616,0.02380470928530737,0.02337138853869625,0.0015931141395623349,0.0,0.0015931141395623349,0.02052800198905316,0.0,0.0037671865750408735,0.006143908810676182,0.0106169066033361
8,11-3021,Computer and Information Systems Managers,0.14695137652260412,0.030606408997024263,0.01647105076576983,0.024094806518387742,0.07577911024142228,0.18054470025007874,0.09076617972965743,0.054303401234571086,0.03547511928585022,0.12350290019132988,0.04966764385061684,0.07383525634071303,0.0,0.0,0.0,0.03528618561322791,0.01849892398560965,0.0,0.01678726162761826,0.0
9,11-3031,Financial Managers,0.17162519723140854,0.06758962160371884,0.02378902458772068,0.036400289586478084,0.043846261453490964,0.1644571943022063,0.0870213569624206,0.03303647594576144,0.04439936139402425,0.15190958876919225,0.06557757164314977,0.08633201712604248,2.1153931725177518e-06,2.1153931725177518e-06,0.0,0.007149177550745334,0.0012326891532784268,0.0,0.005916488397466907,0.0
