,Job Code,Job Title,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
0,00-0000,TOTAL AVERAGE,0.394428768,0.187703179,0.008500231,0.050856245,0.152203176,-0.023856473,0.18970116899999998,0.072402059,0.056658942000000004,0.034328593,-0.075585553,0.10189712699999999,-0.117891278,-0.117891278,0.22537228,0.163938351,0.006644059,-0.022727624,0.11522252599999999,-0.037705032,-0.090456581,-0.090456581
1,11-1011,Chief Executives,0.468638027,1.916114621,0.641848954,1.7109319090000001,0.180357667,-0.617023909,0.57189276,1.59841674,-0.050995146,-0.324696641,-0.650832192,0.0,-0.190319934,-0.190319934,-0.751071323,0.0,0.0,-0.13641423,-0.418416487,-0.196240606,-1.0779780970000001,-1.0779780970000001
2,11-1021,General and Operations Managers,0.99275439,3.953234681,2.951564823,2.037822902,-0.5940791120000001,-0.442073933,-1.831798377,1.115685791,-2.143452925,-0.275045037,-0.513157595,-0.01582861,0.6265669660000001,0.6265669660000001,-1.428767163,-0.102172888,0.269439114,0.286105097,-0.291973722,-1.590164764,-0.326481717,-0.326481717
3,11-2011,Advertising and Promotions Managers,0.553128272,2.6195411109999998,0.864771359,-2.278535239,3.541338698,0.49196629399999997,-2.6103921409999997,-1.123355989,-0.568998331,-0.000348811,-0.707873878,-0.209815132,1.5295224440000001,1.5295224440000001,-1.5677155790000001,-0.548906204,0.0,0.176728842,-0.913282313,-0.282255904,0.582172437,0.582172437
4,11-2021,Marketing Managers,-0.048585015,-0.877133507,2.055506877,-1.001505429,-2.222159197,0.291024242,-0.293301258,0.33471995,0.022481566,-0.033533416,-0.616969358,0.0,2.058127679,2.058127679,0.200480183,0.0,0.0,0.524058194,1.0080715759999999,-1.331649587,-1.136758112,-1.136758112
5,11-2022,Sales Managers,0.3618345570000001,1.196379315,1.328227635,0.330186628,-0.718356289,0.25632134,-2.727295892,0.35813577700000004,-2.7357625260000002,-0.645720618,0.296051475,0.0,1.9939186309999999,1.9939186309999999,-0.002222458,-0.05252252,-0.156895697,0.686610025,0.26718296399999997,-0.74659723,-0.09894503800000001,-0.09894503800000001
6,11-2031,Public Relations and Fundraising Managers,1.166590674,-1.513302474,-0.606298905,-0.319213857,-0.151107595,-0.43668211700000004,-1.600593634,-1.093084062,-0.438031533,-0.069022108,-0.00045593099999999997,0.0,1.2635252890000002,1.2635252890000002,1.14595065,0.0,0.0,1.165767663,0.38772906100000004,-0.407546074,1.871010843,1.871010843
7,11-3011,Administrative Services Managers,0.493897884,-0.135823126,-3.5035897960000004,4.80637612,-2.315037448,0.8764279979999999,1.669959074,2.3531437509999997,0.251723465,-0.459920878,-0.815489323,0.34050205899999997,1.625878832,1.625878832,-1.65594334,0.049596716,0.0,-2.936780445,0.731756855,0.499483534,-1.010173556,-1.010173556
8,11-3021,Computer and Information Systems Managers,0.6053125189999999,0.588728137,1.297445983,0.641876306,-1.3423216269999998,-0.008272525,-1.702072782,-1.341219039,0.0,0.143214118,-0.888555144,0.384487284,1.883150939,1.883150939,0.08548597,0.0,0.0,1.104416493,-0.5599417870000001,-0.458988735,-0.249979746,-0.249979746
9,11-3031,Financial Managers,-0.468782067,1.716663152,-0.7581654409999999,3.47319727,-0.8717826870000001,-0.12658599,-3.4556413,-1.736808595,0.0,-0.5477728860000001,-1.161342678,-0.00971714,1.921532869,1.921532869,-0.530220906,0.0,0.0,-0.061126482999999995,-0.251956595,-0.21713782899999998,-0.121115882,-0.121115882
10,11-3051,Industrial Production Managers,0.12510085599999998,3.580694326,1.295567952,0.399605573,1.01735439,0.8681664109999999,-1.4464562680000002,-0.7417338859999999,-0.817330511,0.08375927700000001,0.028848852999999997,0.0,1.235140031,1.235140031,-2.9241022389999998,-0.532106449,-1.917722982,-0.6952158740000001,0.351171797,-0.130228731,-0.320174994,-0.320174994
11,11-3061,Purchasing Managers,-0.692632365,8.801386235,4.983439093,3.461941511,1.3100159390000001,-0.954010308,-8.151561318999999,0.659004346,-1.5431566380000001,-1.1949290940000001,-5.51182374,-0.560656193,0.568447421,0.568447421,-0.810699698,-1.192669053,-0.3131065,-0.736661824,0.58892967,0.84280801,-1.100205004,-1.100205004
12,11-3071,"Transportation, Storage, and Distribution Managers",-0.048396594,-0.550723042,1.742211159,-0.809268358,-2.1346457830000003,0.650979939,0.9161819109999999,0.278265025,1.4591125569999999,0.406136025,-1.227331695,0.0,1.447776786,1.447776786,-1.140683908,0.0,0.039564121,-1.524972725,-0.065314778,0.41003947399999996,-0.7209483409999999,-0.7209483409999999
13,11-3111,Compensation and Benefits Managers,-0.338130706,0.35442324299999994,3.905886348,-1.179492932,-2.371970174,0.0,-2.493382888,-3.065237153,0.0,0.0,0.571854266,0.0,0.625645696,0.625645696,2.049710543,0.0,0.0,0.950493032,0.518752254,0.5804652570000001,-0.8745273000000001,-0.8745273000000001
14,11-3131,Training and Development Managers,0.638814611,-0.855764992,1.264738444,-0.08329576400000001,-1.782786301,-0.254421371,1.2635301970000001,1.112950725,-0.026417233,-0.433852232,0.610848936,0.0,0.249869967,0.249869967,0.159152603,0.0,0.0,0.007369464,0.479421563,-0.327638423,-0.177973164,-0.177973164
15,11-9021,Construction Managers,0.22963352899999998,2.66885432,2.627800348,0.19395218399999997,-0.41999672,0.267098508,-2.44920815,-0.559196679,-2.17245445,-0.025269279,0.218985294,0.088726965,1.5238342130000002,1.5238342130000002,-1.42608604,-0.043505947999999996,-1.006305597,-1.0490093740000002,0.7171450970000001,-0.044410218,-0.087760814,-0.087760814
16,11-9031,"Education Administrators, Preschool and Childcare Center/Program",1.899941427,0.6983735990000001,0.679275573,-0.774621309,1.329542796,-0.535823461,-0.93138555,-1.093782471,-0.28214961,0.492671759,0.16563966300000002,-0.21376489,0.25899121,0.25899121,0.420137585,-0.534876537,0.0,0.697144995,0.7444258009999999,-0.48655667399999997,1.4538245840000001,1.4538245840000001
