,Job Code,Job Title,Automation Index,Race with the Machine,Interpersonal Task,Administrative Task and Communication,Race against the Machine,Information Processing,Routine Problem Solving,Vehicle and Equipment Operation,Machine Control,General Physical Task,Race ahead of the Machine,Systems Thinking,Creative and Critical Thinking,Running a Different Race,Equipment Maintenance,Dynamic Physical Task,Hazardous and Group Task,Conflict Resolution,Management and Supervision
0,00-0000,TOTAL AVERAGE,0.006322055212524824,0.0019597074344351734,-5.0684280885927864e-05,0.002010391715321011,0.0032762553658167988,0.0005918890521227628,-0.0003559179969755896,0.0010609049032522314,0.0007856106058337643,0.0011937688015838663,-0.002008857863027368,-0.0013275809680196315,-0.0006812768950077637,0.00309495027530049,-0.0006728155179386991,0.0020865427968143717,-1.6732111218907553e-05,0.0013466808830026149,0.0003512742246411134
1,11-1011,Chief Executives,0.007054908071583377,0.008769627249212597,0.006113416262052904,0.002656210987159673,-0.002843458583924943,0.01854133673926948,-0.018484789439967675,-0.0004922086406849269,-0.002407797242541826,0.0,-0.004009945579375979,-0.002071278667532643,-0.0019386669118433425,0.0051386849856716885,-0.007810866519407761,0.0,-0.0018953182159979626,-0.0036771966537970345,0.018522066374874458
2,11-1021,General and Operations Managers,0.011907816364701562,0.028133642582798633,0.03173867734972845,-0.003605034766929805,-0.014870154573206215,0.009611339035978056,-0.00019666897304251166,-0.023694682184266642,-0.0005900654649241624,-7.698695094723482e-08,-0.0087028636139654,-0.0043574018981481005,-0.004345461715817303,0.007347191969074545,-0.009214537553668904,-0.0009338443193017859,0.0067876754734655315,-0.002642199324067618,0.01335009769264732
3,11-2011,Advertising and Promotions Managers,0.006691900523567718,0.04431124628936842,0.00678645892560116,0.037524787363767236,-0.04097776404179672,-0.014471319204395497,-0.013702276593943463,-0.005543147497771584,0.0,-0.007261020745686173,0.015200675890972404,0.014162468094652929,0.001038207796319475,-0.01184225761497637,0.013506332576363005,0.0,0.00192013541896412,-0.008872149845239784,-0.018396575765063698
4,11-2021,Marketing Managers,0.001415444781007802,-0.0062222978416968935,0.011428477564613015,-0.017650775406309924,0.0009219435802352015,0.005849233838936693,-0.005129787141886805,0.0002024968831853124,0.0,0.0,0.009327230308394857,6.597959547393478e-05,0.009261250712920915,-0.002611431265925404,-0.009789022158331951,0.0,0.00546487549080708,0.01027104167266406,-0.00855832627106458
5,11-2022,Sales Managers,0.004565962832004611,0.002942896698013342,0.006359463447017599,-0.003416566749004271,-0.02226883923450669,0.004523832529811346,0.005115040491358008,-0.0311027439355072,-0.000804968320168855,0.0,0.011042291521309394,0.0073210972050137685,0.0037211943162956257,0.012849613847188579,-0.0005460329201488737,-0.0004014870948499808,0.004361059843495193,0.0029450048545245945,0.00649106916416764
6,11-2031,Public Relations and Fundraising Managers,0.01269978303768371,-0.000817790718262934,-0.0020405850535765296,0.0012227943353136095,-0.004311102297000115,-0.0165500554375021,0.015244248367729966,-0.0041987408148668115,0.0011934455876388475,0.0,0.00857627099382402,0.019756657477644792,-0.011180386483820762,0.009252405059122741,-0.0013078053200265614,0.0,0.010100547027695023,0.003998316033722967,-0.0035386526822686892
7,11-3011,Administrative Services Managers,0.006028317395007865,-0.033138237862265635,-0.012151220407333949,-0.020987017454931672,-0.002166467676753131,0.022397148111526752,-0.0255982172407846,0.0023163998684127603,-0.0045102997667376046,0.0032285013508295594,0.016772803698661076,0.02327195484454792,-0.006499151145886842,0.024560219235365555,0.009511761195110758,0.0003552427383189218,-0.029031120529134768,0.007446689117922282,0.0362776467131484
8,11-3021,Computer and Information Systems Managers,0.00718495771703742,0.001608939402828552,0.013612060115263884,-0.01200312071243534,-0.007632112709537675,-0.014059313896686436,0.0011137342235635964,0.0,0.0015132604039623538,0.0038002065596228055,0.02285240902882743,0.01670837678599934,0.0061440322428280856,-0.009644278005080829,-0.019510091867527803,0.0,0.011714051065323932,-0.005209517138794442,0.0033612799359174768
9,11-3031,Financial Managers,-0.0025517044410223733,-0.008507676487751886,-0.0007063616610656215,-0.007801314826686266,-0.033782545235611444,-0.017847660980102542,-0.01040795126601782,0.0,-0.005507498395332686,-1.9434594158385406e-05,0.019763134152006975,0.017045112231783618,0.0027180219202233642,0.019975383130333983,-0.006958188586187612,0.0,-0.0001938805282853326,-0.0020899138984200767,0.029217366143226987
10,11-3051,Industrial Production Managers,0.0038514213350634985,0.01939017624940537,0.007002871800025588,0.012387304449379782,-0.011660350520457413,-0.006878083025636708,0.002965554431495855,-0.00884892627506614,0.001101104348749559,0.0,0.013340026229346838,1.7720603890866715e-05,0.013322305625455971,-0.01721843062323125,0.0020205099177371746,-0.004661488712563883,-0.024815037918206998,0.003927775482198269,0.006309810607604216
11,11-3061,Purchasing Managers,-0.006925152688948165,0.06373315312844284,0.048181163061646236,0.015551990066796618,-0.06785218147686373,0.009591773970340216,-0.04615898174805795,-0.018414658506720458,-0.005505254391431942,-0.00736506080099355,0.02743397959650294,0.014120582506171146,0.013313397090331795,-0.03024010393703028,-0.04179516965190945,-0.009306980597612362,-0.0131678574520544,0.006054590506356591,0.02797531325818934
12,11-3071,"Transportation, Storage, and Distribution Managers",-0.00013806896277973602,-0.004178897294385918,0.012469193861495531,-0.01664809115588146,-0.009321599583193424,0.0014222250304171886,-0.0205512678780272,0.00851376769113318,0.0012936755732834131,0.0,0.03518932350280556,0.02295839570778287,0.012230927795022687,-0.02182689558800599,-0.0013231815358740412,0.0,-0.01808602536536135,-0.001847690845057523,-0.0005699978417130769
13,11-3111,Compensation and Benefits Managers,-0.0020654707383365167,0.011651118603114241,0.029527233560476818,-0.017876114957362563,-0.02467928312122916,-0.031344142502511066,0.006664859381281904,0.0,0.0,0.0,0.005370253089845206,-0.017761366843877788,0.023131619933723,0.005592440689933281,0.0,0.0,0.009447501162031836,0.005784064156267931,-0.009639124628366495
14,11-3131,Training and Development Managers,0.006947830659085941,-0.005616608897836245,0.00758957652348058,-0.013206185421316805,0.01765299704799924,0.007640082854970545,0.01021121221192475,-0.00019829801889605602,0.0,0.0,-0.004816876742534546,-0.007072678321176383,0.0022558015786418445,-0.0002716807485425021,-0.0026009216092829327,0.0,-0.004053559241831172,0.004996611968856993,0.0013861881337146054
15,11-9021,Construction Managers,0.004577502411613421,0.02464643888406634,0.025844411954937724,-0.0011979730708713832,-0.010513867466819482,-0.006469271111644234,0.013938514241406987,-0.02118428609636365,0.002377278228981313,0.000823897270800064,0.012176836504107641,0.002369545053395324,0.009807291450712307,-0.021731905509741026,-0.007187488306196101,-0.0004443508276343005,-0.023250157886886728,0.007674472704029762,0.0014756188069463552
16,11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.02049115696246434,0.015854069980231974,0.0017504043247385387,0.014103665655493453,0.011387880932268573,-0.010749473790754166,0.020186987669577282,-0.0026882627626764405,0.006306316612729903,-0.0016676867966080005,0.000620697735849704,0.002610103578676748,-0.0019894058428270443,-0.0073714916858858845,-0.012870121363172922,-0.0052781144594882794,0.005768469378732315,0.007812499387862486,-0.0028042246298194545
