,Job Code,Job Title,Race with the Machine,Interpersonal Task,Group Task,Conflict Resolution,Management and Supervision,Race ahead of the Machine,Communication,Systems Analysis,Creative and Critical Thinking,Changing the Course of the Race,Routine Problem Solving,Information Processing,Race against the Machine,General Physical Task,Dynamic Physical Task,Running a Different Race,Equipment Maintenance,Vehicle and Equipment Operation,Machine Control,Hazardous Task
0,00-0000,TOTAL AVERAGE,-0.0003574205825594562,-0.0009542512569020652,0.00012300976436183803,0.0008343032888139397,-0.00036048237883323786,-0.002174790501470236,0.0006805632978790082,-0.002127656200845346,-0.0007276975985037945,-0.0018707472029876188,-0.0014475929956104597,-0.0004231542073771175,0.004132163014447575,0.0018035952546843481,0.002328567759763325,0.00305275500222546,0.00045712043191021776,0.0011564606937656818,0.0009110472451975547,0.0005281266313518218
1,11-1011,Chief Executives,0.014878858051210975,0.005906440094194797,0.00035617704574680137,-0.005416418522856868,0.014032659434126252,-0.0054576462619943256,0.0022481034250662053,-0.0039675803689003955,-0.003738169318160116,-0.0055493496789389,-0.017926058909991445,0.012376709231052552,0.0,0.0,0.0,-0.007428383164663724,-0.006338846191577744,-0.0015148258028761994,0.0020016483751417345,-0.0015763595453515133
2,11-1021,General and Operations Managers,0.03598517936842116,0.02431635418408664,0.00405498611138419,-0.009677407805653487,0.01729124687860381,-0.017034301266256657,-0.008534701373602821,-0.004999778531114407,-0.0034998213615394093,0.014061758195411255,0.00397436509504781,0.010087393100363449,-0.0011754922640495082,0.0,-0.0011754922640495082,-0.030722001043252112,-0.006956844313065995,-0.0238039092340798,-0.001388472031713427,0.0014272245356071155
3,11-2011,Advertising and Promotions Managers,-0.01462535118769362,0.008913071926003227,0.002818341376960385,-0.005240985438333144,-0.02111577905232409,0.049603540425245035,0.031080104210446168,0.013189815008648909,0.005333621206149955,-0.026049322266535186,-0.00316089113303842,-0.02288843113349676,-0.007108497910781833,-0.0019088857728646114,-0.005199612137917221,-0.0030974972852862892,0.0069413529334054645,-0.005656826217881857,-0.002999845489548183,-0.001382178511261716
4,11-2021,Marketing Managers,0.01900000460788193,0.015374765715373606,0.005090480779951896,0.010890054726195742,-0.012355296613639336,-0.01077317254733584,-0.013698159100501622,-0.0016594804381431724,0.004584466991308968,-0.01926542628051115,-0.016205982475081468,-0.003059443805429683,0.0,0.0,0.0,0.001785400293795725,-0.001227390681576201,-7.200693211787881e-05,0.003084797907489805,0.0
5,11-2022,Sales Managers,0.02510698076196929,0.0116670980551669,0.0064608272471156575,0.0025138579086965845,0.0044651975509901465,-0.00040441935794552353,-0.008125277710699028,0.00589874169956596,0.0018221166531875587,0.0023419517311247732,0.000695245497042786,0.0016467062340819842,-0.0004207488007910958,0.0,-0.0004207488007910958,-0.033254331546956915,0.0,-0.03407213781987213,0.001573315805319448,-0.0007555095324042434
6,11-2030,Public Relations and Fundraising Managers,0.016243831229637632,-0.0044129363336274105,0.011410457025115651,0.004666667190269418,0.0045796433478799544,0.0019676864426573792,-0.006562089061896079,0.0182949357429604,-0.009765160238406921,-0.00420314097005485,0.012055595437192864,-0.01625873640724771,0.0,0.0,0.0,-0.01128225581205292,0.0005670493112221593,-0.006060047033396234,-0.005789258089878843,0.0
7,11-3010,Administrative Services and Facilities Managers,-0.01002116381433782,-0.025787205826569858,-0.023439241182842317,-0.009489559083173059,0.0486948422782474,-0.00814446412782388,-0.03453887663596171,0.022939699088689716,0.0034547134194481237,0.007941861784262948,-0.0051730476400331455,0.013114909424296096,0.0032786843669902355,0.003126116343316791,0.00015256802367344543,0.0053005334695341065,0.006793519519553453,0.0020000210689127096,0.0005218147061239837,-0.0040148218250560365
8,11-3021,Computer and Information Systems Managers,0.01817757949159873,0.009854563525766118,0.010942614676869128,-0.005811473220590058,0.0031918745095535638,0.007803590040155267,-0.011810170381824359,0.014790758122642106,0.004823002299337513,-0.024354470058745258,-0.010086266814567429,-0.014268203244177831,0.0038628162447239367,0.0038628162447239367,0.0,-0.00844751595361302,-0.008823939362600827,0.0,0.0003764234089878096,0.0
9,11-3031,Financial Managers,0.01194288884438552,-0.009835607265951646,0.0009353594975250457,-0.011427060570787708,0.03227019718359983,0.011190893325486395,-0.01031581028249294,0.01598262738222016,0.005524076225759192,-0.02932992436907582,-0.008104564519753263,-0.02122535984932256,-2.1153931725177518e-06,-2.1153931725177518e-06,0.0,-0.005335837478368603,-0.0012326891532784268,0.0,-0.004103148325090176,0.0
10,11-3051,Industrial Production Managers,0.010646041863619504,0.010707450039467159,-0.004939521232015178,0.003709403903823821,0.001168709152343711,0.02034884569454891,0.010651518433640277,-0.0008843986476144566,0.010581725908523094,-0.00611303580502677,-0.002195975480417195,-0.003917060324609575,-0.00436592471025267,0.0,-0.00436592471025267,-0.024953426000509024,0.0048733997803541325,-0.009096699078036664,-0.002067356716732409,-0.018662769986094084
11,11-3061,Purchasing Managers,0.07321022818604711,0.04560238260728251,-0.005302424940732072,-0.005634283270711596,0.038544553790208234,0.041130766504288714,0.010885142394269277,0.013115885490129169,0.01712973861989025,-0.07008156064428589,-0.05534195669627552,-0.014739603948010391,-0.016607391490609382,-0.005276654944521404,-0.011330736546087978,-0.04626034853618025,-0.01644962762779534,-0.022719547627274458,-0.00333186476193716,-0.0037593085191732815
12,11-3071,"Transportation, Storage, and Distribution Managers",-0.0024464754528379096,0.009851567112049979,-0.010523495605717022,0.006564029917437042,-0.008338576876607898,0.005918488116491621,-0.02154032387307488,0.017651730973483718,0.009807081016082776,-0.03559042801145512,-0.024616195570948633,-0.010974232440506493,0.0,0.0,0.0,0.025701928671717996,0.0003642661308483956,0.014435478242816557,0.01460479972980163,-0.003702615431748583
13,11-3111,Compensation and Benefits Managers,0.04210854263773686,0.03359713550353108,0.008617850253441918,0.01066545003211394,-0.01077189315135009,-0.015767090104532092,-0.025970013260063197,-0.018837933353419992,0.029040856508951083,-0.03976515029312551,0.0017013401775679829,-0.041466490470693486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,11-3131,Training and Development Managers,0.015746004122436263,0.00867507059521154,4.345166440853157e-05,0.006725008001395499,0.0003024738614206824,-0.019874837363782344,-0.01672681478610847,-0.008264416700251924,0.005116394122578047,0.010345401458066228,0.005955169553084092,0.004390231904982132,0.0,0.0,0.0,-0.010039204295000322,-0.0011950485664719225,-0.0047026681943856145,-0.004141487534142785,0.0
15,11-9021,Construction Managers,0.029695793761943506,0.016634117270480902,-0.002409760551670047,0.010572475800626207,0.004898961242506439,-0.006465227625528619,-0.0074971974729019794,-0.007913391578697894,0.008945361426071243,-0.0049435821894539276,0.0023387978327176345,-0.007282380022171554,-0.00015227576463004537,0.0003665107124191124,-0.0005187864770491579,-0.02128212534185724,-0.002003470450873436,-0.020943344716499945,0.003386814046048854,-0.0017221242205327154
16,11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.019620476758190702,0.006226879052033951,0.004541334555132108,0.015895513436435145,-0.007043250285410488,0.009794386124502341,0.01447567188529912,0.001391572047004859,-0.006072857807801632,-0.004711967464016933,0.0024689651002097503,-0.007180932564226677,-0.0072174710047764766,-0.0016393985730167664,-0.00557807243175971,-0.007250375587234269,-0.0052593095454357185,-0.0043807418546235495,-6.5618053970515475e-06,0.0023962376182220515
17,11-9032,"Education Administrators, Kindergarten through Secondary",-0.011332142582961502,0.0019511220758805516,-0.004795134106711976,-0.007560450705338464,-0.0009276798467915961,-0.020772776272924454,-0.013345495886333908,-0.00844456241947155,0.0010172820328810256,0.028113392800127937,0.019916338611009998,0.008197054189117932,0.0004933894974423847,0.0,0.0004933894974423847,0.0029542459708409644,0.00032002932995951316,0.003502043258242,0.0007199487029422007,-0.001587775320302747
18,11-9033,"Education Administrators, Postsecondary",-0.0046966683337058565,0.0016669188482659472,-0.005631719559024053,0.0011222805087471863,-0.0018541481316949606,-0.015213951335144969,-0.005206095360771379,-0.012383400672061277,0.0023755446976876857,0.020786850485571287,0.01790097773119117,0.002885872754380125,0.0,0.0,0.0,-0.005314223112157063,-0.0023334719892929307,-0.0011986034571299352,-0.001782147665734196,0.0
19,11-9041,Architectural and Engineering Managers,-0.00014121779809694868,0.013173032699030987,-0.005277549689980524,-0.010091966278285831,0.0020552654711384066,-0.013507055566578802,-0.010833543189057672,-0.022029040287659996,0.019355527910138882,-0.002502868449814289,-0.009030383351305522,0.006527514901491241,0.0,0.0,0.0,0.009485737220829252,0.013367544974714006,0.0010729732425163656,-0.0036908903515085493,-0.0012638906448925705
20,11-9051,Food Service Managers,0.04059258804894261,0.03310609520403502,0.01803303248218651,0.008791085143517258,-0.019337624780796158,0.005773685702259654,0.017913224036309232,-0.018076711615521792,0.005937173281472221,-0.026508158809852852,-0.0070776041005657315,-0.019430554709287118,0.022471647237527467,0.012124753974650843,0.01034689326287663,-0.029789009156348467,-0.005480996961789768,-0.018850724847205104,-0.015167019545784716,0.009709732198431123
21,11-9071,Gambling Managers,0.033046812892112865,0.008187924372359991,-0.0016611122686953671,0.00080914549613198,0.025710855292316245,-0.009964759416538418,-0.0065590298620502386,-0.004759631004035789,0.0013539014495475982,-0.005522902197521468,0.011497720910366641,-0.017020623107888117,-0.010765903618327069,0.0,-0.010765903618327069,-0.006410486904965172,-0.004414933346105971,-0.003562002765634512,0.004127505333990948,-0.0025610561272156364
22,11-9081,Lodging Managers,0.009613617014962385,-0.013159514186566384,0.007388107602530065,0.00938841652053396,0.005996607078464764,-0.01630457720267245,-0.016874665010932374,0.006929346769223004,-0.006359258960963093,-0.006337955449785861,0.010444888898694705,-0.01678284434848057,0.004830940544444937,0.0,0.004830940544444937,0.010585804876547164,-0.0030354537355781986,0.008834928804495512,0.0021132377546818283,0.002673092052948021
23,11-9111,Medical and Health Services Managers,-0.027408708345574292,0.016924937189847937,-0.005034706196547722,-0.03817586265488132,-0.0011230766839931822,0.013114169875667077,0.004114402985994747,0.006836055738767485,0.0021637111509048707,0.012735897765325715,0.011124447229820093,0.0016114505355056266,0.002814064330104549,0.002814064330104549,0.0,-0.002137722226440537,0.0,0.0,0.00029474385386203764,-0.002432466080302575
24,11-9121,Natural Sciences Managers,-0.012618862156102471,0.002013848846509743,-0.035527072323479965,0.000313790364143432,0.02058057095672433,0.013803330918381623,-0.020074223939008096,0.03716137963167716,-0.0032838247742874235,-0.0009474825189822317,-0.0031265360952337645,0.002179053576251533,0.0,0.0,0.0,-0.010696336210311913,-0.0072094352792340935,-0.006416603431246864,0.010943097515439905,-0.008013395015270859
25,11-9131,Postmasters and Mail Superintendents,0.03557685176124173,0.03126202275528512,-0.005327739019160262,0.0038711697305822686,0.005771398294534588,-0.011831957900289458,-0.0026582466536523987,0.008001383664262719,-0.01717509491089978,-0.01978263022217129,-0.005763371603628714,-0.014019258618542585,-0.001648443187027334,-0.0011593528939279852,-0.0004890902930993488,-0.004094455071995698,-0.002170778716703705,0.0031571369236960013,-0.003120064482393393,-0.0019607487965945963
26,11-9141,"Property, Real Estate, and Community Association Managers",0.0024529482308284227,-0.0256359991550327,-0.016491440787105478,-0.023587225043316052,0.06816761321628267,0.010275012233235792,0.008835844634860257,0.0033196891019419555,-0.001880521503566393,-0.0032218360262355468,-0.017185549295141926,0.013963713268906379,0.0,0.0,0.0,-0.017157765032771274,-0.013770967667788543,0.005618396005176709,-0.0065232574610063045,-0.0024819359091531328
27,11-9151,Social and Community Service Managers,0.012077247022563298,-0.0028529125871314953,-0.0011181659218178416,0.010803479734547698,0.0052448457969649365,0.014654485230399444,-0.0023630662574316698,0.019522397534395174,-0.002504846046564084,-0.02359053001721549,-0.0161777866160329,-0.0074127434011826,-0.0018638814497033453,-0.0018638814497033453,0.0,-0.0028163868228006164,-0.0025234382037824785,0.0003746480099900934,0.001686301779129326,-0.0023538984081375577
