,Job Code,Job Title,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
0,00-0000,TOTAL AVERAGE,49.04591741,15.15033218,3.734051272,2.973253681,5.226784069,3.216243163,18.36257365,4.297930214,3.495841405,3.804692168,3.536012381,3.228097478,3.308273093,3.308273093,9.67484212,2.841908403,2.292816975,1.281744769,2.344081211,0.914290762,2.549896364,2.549896364
1,11-1011,Chief Executives,48.46489029,22.63066714,7.552521559,8.942602374,5.528301756,0.60724145,10.12645043,5.224483085,0.351720324,0.327872997,4.222374021,0,6.82828712,6.82828712,6.747601894,0,0,2.2928907,2.752024464,1.70268673,2.13188371,2.13188371
2,11-1021,General and Operations Managers,48.63968263,26.74752505,8.932585471,10.6632234,6.178802714,0.972913473,7.549371321,3.934830327,0.368878118,0.412421799,2.833241078,0,5.043019154,5.043019154,7.889721493,0.26714558,0.347523472,3.746944336,2.949942714,0.578165391,1.410045608,1.410045608
3,11-2011,Advertising and Promotions Managers,48.33220823,25.66511858,9.49162108,3.954879315,10.96331736,1.255300824,6.784296467,3.09240048,0.347459548,0.012896358,3.33154008,0,6.157558912,6.157558912,6.699795261,0,0,2.715689855,1.05680218,2.927303227,3.025439017,3.025439017
4,11-2021,Marketing Managers,47.83949417,24.97603736,8.684740384,7.955455343,6.961911876,1.373929761,6.27712011,3.691122643,0.022481566,0.003824308,2.559691593,0,7.800333075,7.800333075,7.42428131,0,0,2.550473129,2.086079388,2.787728793,1.36172231,1.36172231
5,11-2022,Sales Managers,47.13141346,26.84961033,10.46472899,10.14568874,5.982871263,0.25632134,5.211698194,3.205139069,0.560640295,0,1.445918829,0,7.686303383,7.686303383,6.170687517,0,0,0.895687457,2.631220317,2.643779743,1.213114037,1.213114037
6,11-2031,Public Relations and Fundraising Managers,48.06044875,23.78171839,9.444902534,5.546335623,8.668826021,0.121654215,7.249100303,3.413487943,0.127390312,0.128603994,3.579618053,0,6.832410356,6.832410356,7.33146896,0,0,2.935753151,2.020763925,2.374951885,2.865750739,2.865750739
7,11-3011,Administrative Services Managers,48.86138881,27.40695543,7.1578413,10.95740762,8.415278512,0.876427998,7.610663741,4.669007431,0.638405112,0.203784515,1.758964623,0.340502059,5.433124306,5.433124306,7.467720225,0.237660729,0,3.456436714,3.162359859,0.611262922,0.942925111,0.942925111
8,11-3021,Computer and Information Systems Managers,49.55317848,23.13089306,4.89763269,8.822943327,6.765152555,2.645164488,10.57619442,5.987933776,0,0.879622016,3.318932138,0.389706492,7.575152979,7.575152979,5.338979333,0,0,2.81770387,1.166833997,1.354441466,2.931958686,2.931958686
9,11-3031,Financial Managers,49.52304084,22.10191522,6.810685278,8.411343527,6.87988642,0,10.73596979,6.722795788,0,0.040637163,3.972536841,0,7.490526559,7.490526559,5.455092342,0,0,2.422446881,1.732791682,1.299853779,3.739536919,3.739536919
