,Job Code,Job Title,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,General Physical Task,Machine Control,Hazardous Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Conflict Resolution,Management and Supervision
0,00-0000,TOTAL AVERAGE,0.10189285987855123,0.05791979366791691,0.033493672464093065,0.010479393746541287,0.185496223932686,0.0485512123561122,0.0422645250335489,0.036168049298682926,0.026901475841216275,0.03161096140312577,0.04725927876177704,0.02204628938275736,0.025212989379019682,0.15487611901037546,0.02931896420421948,0.028861881719208417,0.043698757347978484,0.02856060121750752,0.024435914521461675
1,11-1011,Chief Executives,0.1529692194735119,0.06607556212754115,0.066647939613882,0.02024571773208874,0.09961037583219204,0.03692910974801365,0.05385325026813459,0.0,0.006754114850409715,0.0020739009656340762,0.09669000673871601,0.0504020815137512,0.0462879252249648,0.12350050694558296,0.0,0.0019324474108961835,0.004097930943230941,0.040272203019621415,0.07719792557183441
2,11-1021,General and Operations Managers,0.18490601897537332,0.07584608361340504,0.07825803511736726,0.03080190024460107,0.08487300031710475,0.024123206000428776,0.036770670714648734,0.0,0.015020769687931928,0.008958353914095309,0.06353506597411743,0.03653424668627033,0.027000819287847103,0.14218470231466976,0.0020071722290247746,0.0010679735457686961,0.003153823250950709,0.04299929959908872,0.09295643368983686
3,11-2011,Advertising and Promotions Managers,0.23113698610729155,0.11260860224832875,0.0926797845863284,0.02584859927263436,0.07042264743934512,0.04463832133844425,0.02578432610090089,0.0,0.0,0.0,0.09965936128337627,0.048627149050879774,0.051032212232496516,0.07108252656041729,0.0,0.011518428645187331,0.0032593557284709453,0.02062495357521272,0.0356797886115463
4,11-2021,Marketing Managers,0.1822688086425248,0.08039698398164034,0.0773863485203116,0.024485476140572848,0.06648042031775117,0.02193642904939043,0.03827906880895132,0.0,0.0062649224594094315,0.0,0.11429609032152208,0.05715066810378148,0.057145422217740625,0.1026906846224292,0.0,0.0062993897553917395,0.00022825554025134376,0.02696192094222848,0.06920111838455763
5,11-2022,Sales Managers,0.16846738638653114,0.06365355826894435,0.0962168920361712,0.008596936081415629,0.0464928713931656,0.014279783141191348,0.0306397724466548,0.0,0.001573315805319448,0.0,0.11776348182755225,0.05955955266139395,0.0582039291661583,0.125515951335096,0.0,0.0,0.005459758308429239,0.0255707378796812,0.09448545514698556
6,11-2030,Public Relations and Fundraising Managers,0.21455424322038788,0.09503734575825347,0.09130582360088492,0.0282110738612495,0.0727456023971456,0.037344303622071466,0.03420505878103808,0.0,0.0011962399940360516,0.0,0.10067424718146792,0.05883519729030187,0.04183904989116605,0.0795308428670631,0.0,0.0012226690909730776,0.0012512261309716088,0.032118357666777765,0.04493858997834066
7,11-3010,Administrative Services and Facilities Managers,0.1873061845163163,0.09009361741146336,0.07018442322264187,0.027028143882211097,0.07151188424666359,0.018631661645274227,0.036486297962992346,0.003126116343316791,0.006665723516800164,0.006602084778280063,0.06699163810165418,0.04181179964779602,0.02517983845385817,0.15162839498668934,0.0017456821632357805,0.006793519519553453,0.005767207643953583,0.03300954855370423,0.10431243710624233
8,11-3021,Computer and Information Systems Managers,0.14683064731326242,0.07895600934783309,0.04046097252279038,0.02741366544263896,0.1201749314139146,0.039581377036049414,0.0595670530965352,0.0038628162447239367,0.01716368503660607,0.0,0.10939228094240093,0.06909415935721319,0.04029812158518773,0.10692930267178236,0.0,0.009674984623008823,0.0,0.01828333329779768,0.07897098475097585
9,11-3031,Financial Managers,0.15918394510294054,0.07670554667992767,0.0577540143377672,0.02472438408524572,0.12439300447249314,0.05747300712339652,0.06510665727671991,0.0,0.0018133400723767306,0.0,0.09894254094776504,0.0490191033279816,0.04992343761978344,0.10108968765278116,0.0,0.0,0.0,0.024973229015690376,0.0761164586370908
10,11-3051,Industrial Production Managers,0.11152031395480994,0.03996148802011574,0.0470449348200814,0.024513891114612805,0.1369002802015668,0.04715135257153191,0.040351258667139935,0.0,0.01963030189993216,0.02976736706296278,0.08005080134648128,0.042335024309795764,0.03771577703668549,0.15461205095966182,0.005501801647688011,0.017624767357621373,0.009661110170299678,0.03636687738418529,0.08545749439986748
11,11-3061,Purchasing Managers,0.16912855446537764,0.0709868525133062,0.08311438069560984,0.015027321256461596,0.07396392503788092,0.02514321343515686,0.04471904618627797,0.0,0.004101665416446097,0.0,0.09226089241511826,0.04865070247130497,0.043610189943813285,0.13730398620920986,0.0,0.0,0.0005438732824623314,0.034186492039464035,0.10257362088728347
12,11-3071,"Transportation, Storage, and Distribution Managers",0.14954204268240898,0.06669506144398607,0.05977321838213266,0.023073762856290262,0.09002774588529858,0.02045910670798448,0.04761383927946504,0.0,0.01460479972980163,0.007350000168047438,0.07898271876279561,0.045068384254395036,0.03391433450840057,0.16095691391473532,0.0,0.0003642661308483956,0.02765865747321105,0.04435614867253747,0.08857784163813842
13,11-3111,Compensation and Benefits Managers,0.19167200409205207,0.10319909726512848,0.07118951098149151,0.017283395845432058,0.0825940048650507,0.0069234023816554715,0.07567060248339523,0.0,0.0,0.0,0.09548395898086454,0.06180468217627042,0.0336792768045941,0.10989471169807376,0.0,0.0,0.0,0.030356657342004482,0.07953805435606927
14,11-3131,Training and Development Managers,0.14668755158978386,0.05953391964367116,0.07751388843887047,0.009639743507242202,0.07233330078930021,0.0259617443419932,0.04393242230861523,0.0,0.002439134138691769,0.0,0.1141599462544739,0.05341851154580594,0.06074143470866796,0.12588689592878982,0.0,2.8359726485695875e-05,0.0011815858062594069,0.01547424375112166,0.10920270664492306
15,11-9021,Construction Managers,0.1026692013436488,0.04631595737811721,0.04158224351824595,0.014771000447285644,0.14411478567900474,0.050457111231045536,0.05214037668626127,0.0017671515594390379,0.018039616685857213,0.02171052951640172,0.06438781976716572,0.039002000990853006,0.02538581877631273,0.17153071775741166,5.235466709032881e-05,0.018476345171475624,0.04493332833587412,0.035244777164084994,0.07282391241888661
16,11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.1730146629237587,0.06756100355962437,0.08020160951244344,0.025252049851690904,0.07429155560896382,0.030187283058512388,0.028736111649469924,0.0,0.008359814733012163,0.007008346167969364,0.07639414872467129,0.03478213564286106,0.041612013081810235,0.14492405297918118,0.0014522765135812831,0.0,0.003999771102873372,0.049075065363004884,0.09039693999972163
17,11-9032,"Education Administrators, Kindergarten through Secondary",0.15091593760708572,0.06616348898338419,0.06692073522591757,0.01783171339778393,0.10155843258564007,0.03629554928111567,0.054926697062222564,0.0,0.007195742455201597,0.003140443787100237,0.08794630904569332,0.043064884087912786,0.04488142495778053,0.12789090516211588,0.0016137252993094738,0.002683004500722536,0.003502043258242,0.04206733105876664,0.07802480104507524
18,11-9033,"Education Administrators, Postsecondary",0.1599640788640114,0.07226458788828012,0.07052629606679116,0.01717319490894012,0.10013420786117937,0.045597133564521185,0.053338273482164265,0.0,0.0011988008144939086,0.0,0.10026952530786674,0.04347097572496805,0.056798549582898684,0.10522926154224874,0.0,0.0,0.0,0.030739275750941906,0.07448998579130682
19,11-9041,Architectural and Engineering Managers,0.14744674383822565,0.07308292858772307,0.05025560197073743,0.02410821327976513,0.1299259832707589,0.032887875124808175,0.08279477798418072,0.0,0.013841022129816546,0.0004023080319534666,0.08066850944652297,0.03267367664962043,0.04799483279690254,0.12062960127190075,0.0,0.029794371447393792,0.003981426528676711,0.015341674540555518,0.07151212875527474
