,Job Code,Job Title,Race with the Machine,Interpersonal Task,Group Task,Conflict Resolution,Management and Supervision,Race against the Machine,Routine Problem Solving,Information Processing,General Physical Task,Dynamic Physical Task,Race ahead of the Machine,Communication,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Equipment Maintenance,Vehicle and Equipment Operation,Machine Control,Hazardous Task
0,00-0000,TOTAL AVERAGE,0.09696958194960352,0.033493672464093065,0.010479393746541287,0.02856060121750752,0.024435914521461675,0.15630275089256335,0.0485512123561122,0.0422645250335489,0.036168049298682926,0.02931896420421948,0.10517907242969396,0.05791979366791691,0.02204628938275736,0.025212989379019682,0.131073076311529,0.028861881719208417,0.043698757347978484,0.026901475841216275,0.03161096140312577
1,11-1011,Chief Executives,0.20436378593742652,0.066647939613882,0.02024571773208874,0.040272203019621415,0.07719792557183441,0.09078236001614824,0.03692910974801365,0.05385325026813459,0.0,0.0,0.16276556886625715,0.06607556212754115,0.0504020815137512,0.0462879252249648,0.014858394170170916,0.0019324474108961835,0.004097930943230941,0.006754114850409715,0.0020739009656340762
2,11-1021,General and Operations Managers,0.2450156686508939,0.07825803511736726,0.03080190024460107,0.04299929959908872,0.09295643368983686,0.06290104894410227,0.024123206000428776,0.036770670714648734,0.0,0.0020071722290247746,0.13938114958752246,0.07584608361340504,0.03653424668627033,0.027000819287847103,0.028200920398746644,0.0010679735457686961,0.003153823250950709,0.015020769687931928,0.008958353914095309
3,11-2011,Advertising and Promotions Managers,0.1748331260457218,0.0926797845863284,0.02584859927263436,0.02062495357521272,0.0356797886115463,0.07042264743934512,0.04463832133844425,0.02578432610090089,0.0,0.0,0.21226796353170505,0.11260860224832875,0.048627149050879774,0.051032212232496516,0.014777784373658275,0.011518428645187331,0.0032593557284709453,0.0,0.0
4,11-2021,Marketing Managers,0.19803486398767056,0.0773863485203116,0.024485476140572848,0.02696192094222848,0.06920111838455763,0.06021549785834175,0.02193642904939043,0.03827906880895132,0.0,0.0,0.1946930743031624,0.08039698398164034,0.05715066810378148,0.057145422217740625,0.012792567755052513,0.0062993897553917395,0.00022825554025134376,0.0062649224594094315,0.0
5,11-2022,Sales Managers,0.2248700211442536,0.0962168920361712,0.008596936081415629,0.0255707378796812,0.09448545514698556,0.04491955558784615,0.014279783141191348,0.0306397724466548,0.0,0.0,0.1814170400964966,0.06365355826894435,0.05955955266139395,0.0582039291661583,0.007033074113748687,0.0,0.005459758308429239,0.001573315805319448,0.0
6,11-2030,Public Relations and Fundraising Managers,0.19657384510725284,0.09130582360088492,0.0282110738612495,0.032118357666777765,0.04493858997834066,0.07154936240310955,0.037344303622071466,0.03420505878103808,0.0,0.0,0.19571159293972135,0.09503734575825347,0.05883519729030187,0.04183904989116605,0.0036701352159807382,0.0012226690909730776,0.0012512261309716088,0.0011962399940360516,0.0
7,11-3010,Administrative Services and Facilities Managers,0.2345345527647995,0.07018442322264187,0.027028143882211097,0.03300954855370423,0.10431243710624233,0.05998975811481914,0.018631661645274227,0.036486297962992346,0.003126116343316791,0.0017456821632357805,0.15708525551311753,0.09009361741146336,0.04181179964779602,0.02517983845385817,0.025828535458587258,0.006793519519553453,0.005767207643953583,0.006665723516800164,0.006602084778280063
8,11-3021,Computer and Information Systems Managers,0.16512895601420285,0.04046097252279038,0.02741366544263896,0.01828333329779768,0.07897098475097585,0.10301124637730856,0.039581377036049414,0.0595670530965352,0.0038628162447239367,0.0,0.18834829029023398,0.07895600934783309,0.06909415935721319,0.04029812158518773,0.02683866965961489,0.009674984623008823,0.0,0.01716368503660607,0.0
9,11-3031,Financial Managers,0.18356808607579408,0.0577540143377672,0.02472438408524572,0.024973229015690376,0.0761164586370908,0.12257966440011644,0.05747300712339652,0.06510665727671991,0.0,0.0,0.17564808762769268,0.07670554667992767,0.0490191033279816,0.04992343761978344,0.0018133400723767306,0.0,0.0,0.0018133400723767306,0.0
10,11-3051,Industrial Production Managers,0.19338319771874696,0.0470449348200814,0.024513891114612805,0.03636687738418529,0.08545749439986748,0.09300441288635987,0.04715135257153191,0.040351258667139935,0.0,0.005501801647688011,0.120012289366597,0.03996148802011574,0.042335024309795764,0.03771577703668549,0.07668354649081599,0.017624767357621373,0.009661110170299678,0.01963030189993216,0.02976736706296278
