,Job Code,Job Title,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race
0,00-0000,TOTAL AVERAGE,0.00015108694748444673,0.0015866679814818263,-0.002452207072813413,0.0045498778079992586
1,11-1011,Chief Executives,0.008988946838288492,-0.0046981518730099675,-0.0068639829899025395,0.0014704244088311058
2,11-1021,General and Operations Managers,0.020342114345400064,0.014346330952347316,-0.007912376512325958,-0.023736804076532947
3,11-2011,Advertising and Promotions Managers,0.04317603350141744,-0.03191805666527371,0.01941204751144883,-0.029679908315275783
4,11-2021,Marketing Managers,0.007584535681145116,-0.01559324908110847,0.003931336959501944,-0.0020007102469924987
5,11-2022,Sales Managers,0.010812597632905457,0.0034213532228353355,0.008601902334162387,-0.02697400474246764
6,11-2030,Public Relations and Fundraising Managers,0.0013285940771811389,-0.009563678306398149,0.0094206701952608,0.004166993189599705
7,11-3010,Administrative Services and Facilities Managers,-0.08335881582606142,0.007591854816885374,0.02667505878919886,0.04851710190631328
8,11-3021,Computer and Information Systems Managers,0.009452518535965376,-0.019378775257499647,0.02027048990182008,-0.010741902765369044
9,11-3031,Financial Managers,-0.018653474355703692,-0.032542652684716455,0.02215131573541948,0.020027904831376647
10,11-3051,Industrial Production Managers,0.016574408061371143,-0.026353267324281726,0.010225427996614439,-0.0029866579513727343
11,11-3061,Purchasing Managers,0.051334585523359635,-0.08167815757329333,0.030882460147027002,-0.01711215033858468
12,11-3071,"Transportation, Storage, and Distribution Managers",-0.02197390740959057,-0.024204291487233465,0.027938627412187958,0.013754635204671906
13,11-3111,Compensation and Benefits Managers,0.016966756316406567,-0.03868037107899866,0.010616327826497407,0.0006185011807386537
14,11-3131,Training and Development Managers,-0.007448280190379436,0.006628773518607967,-0.002242395887975826,0.001930799527894267
15,11-9021,Construction Managers,0.007084837846160499,-0.0021745257128766293,0.0014386590552581124,-0.006865849058574042
16,11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.025615766671964774,-0.003589444738751016,-0.00399850153833585,-0.005686775689882934
17,11-9032,"Education Administrators, Kindergarten through Secondary",-0.015747923885074483,0.027545238144034576,-0.006732795513981912,-0.003609210189101597
18,11-9033,"Education Administrators, Postsecondary",-0.008577861649496782,0.01949757355570783,-0.009177250442233567,-0.0036463835138249856
19,11-9041,Architectural and Engineering Managers,-0.0025297109123582906,-0.006605412047251569,-0.002049754565273107,0.007161061202030472
20,11-9051,Food Service Managers,0.06938275313322873,-0.019525127966722775,-0.011782025490910272,-0.024074497659995225
21,11-9071,Gambling Managers,0.00026416495151196373,-0.00348594237164275,-0.0029640098520122005,0.008228758460622071
22,11-9081,Lodging Managers,-0.021998661592052188,-0.0014441655197716813,0.0011134569252425064,0.02661569851709754
23,11-9111,Medical and Health Services Managers,0.016469862124099566,0.013913693721879117,0.009622815408950616,-0.0386656032135196
24,11-9121,Natural Sciences Managers,-0.05328213622133515,0.0026400251930664143,0.034597532659532554,0.007682381891674181
25,11-9131,Postmasters and Mail Superintendents,0.023722769501155316,-0.02548086686703141,-0.008682094047720725,0.01070364359973383
26,11-9141,"Property, Real Estate, and Community Association Managers",-0.03265583467291855,-0.011889709790071708,0.0017753379092145666,0.03700899731922347
27,11-9151,Social and Community Service Managers,-0.00574246076155055,-0.025774281884349437,0.017775506264799734,0.014323492069504395
28,11-9161,Emergency Management Directors,-0.026907270524898413,-0.0375317145228804,0.02266350387094171,0.03062367654262052
29,11-9171,Funeral Home Managers,0.08073254530833432,-0.08240702359301655,0.008303475229601388,-0.018453428779692693
30,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.024585791119478617,-0.003162390785996949,0.015183426556134194,-0.03896714587425057
31,13-1020,Buyers and Purchasing Agents,-0.026279935930649923,-0.023442445970165066,0.007378714782108484,0.035775951158618174
32,13-1031,"Claims Adjusters, Examiners, and Investigators",-0.05122515415312909,0.038595547971901206,-0.008804554358310769,0.027481456168218385
33,13-1032,"Insurance Appraisers, Auto Damage",-0.05671367079596615,0.061850333951367034,-0.017163785093805083,0.025548331054743967
34,13-1041,Compliance Officers,0.019952898262587115,-0.02417156676145002,0.022780763018222988,-0.021924376275261254
35,13-1051,Cost Estimators,0.0009005869977884995,-0.03317561265233976,0.0009687463178619515,0.020942521679678347
36,13-1071,Human Resources Specialists,0.002983018158227768,-0.00029812896983677506,0.0011977525178827955,0.008816857104385192
37,13-1081,Logisticians,0.015951771747079985,-0.027769357827749877,-0.009366096919317071,0.016893620051023947
38,13-1111,Management Analysts,-0.007133301838633421,-0.008786755162443871,0.0241150424353109,-0.029580871832274702
39,13-1121,"Meeting, Convention, and Event Planners",-0.022038445779374027,-0.006456506837225762,0.016683172125441917,0.0035786390654852784
40,13-1141,"Compensation, Benefits, and Job Analysis Specialists",-0.028273781401005782,-0.01548713050253081,0.04981936063484234,-0.024676904653839732
41,13-1151,Training and Development Specialists,-0.0009629847815708359,-0.006212947410281153,0.011760827431319329,-0.01968318687773639
