Job Code,Job Title,Job Family,Automation Index,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race,Changing the Course of a Race
00-0000,TOTAL AVERAGE,TOTAL AVERAGE,49.04591741,15.15033218,18.36257365,3.308273093,9.67484212,2.549896364
11-1011,Chief Executives,Management Occupations,48.46489029,22.63066714,10.12645043,6.82828712,6.747601894,2.13188371
11-1021,General and Operations Managers,Management Occupations,48.63968263,26.74752505,7.549371321,5.043019154,7.889721493,1.410045608
11-2011,Advertising and Promotions Managers,Management Occupations,48.33220823,25.66511858,6.784296467,6.157558912,6.699795261,3.025439017
11-2021,Marketing Managers,Management Occupations,47.83949417,24.97603736,6.27712011,7.800333075,7.42428131,1.36172231
11-2022,Sales Managers,Management Occupations,47.13141346,26.84961033,5.211698194,7.686303383,6.170687517,1.213114037
11-2031,Public Relations and Fundraising Managers,Management Occupations,48.06044875,23.78171839,7.249100303,6.832410356,7.33146896,2.865750739
11-3011,Administrative Services Managers,Management Occupations,48.86138881,27.40695543,7.610663741,5.433124306,7.467720225,0.942925111
11-3021,Computer and Information Systems Managers,Management Occupations,49.55317848,23.13089306,10.57619442,7.575152979,5.338979333,2.931958686
11-3031,Financial Managers,Management Occupations,49.52304084,22.10191522,10.73596979,7.490526559,5.455092342,3.739536919
11-3051,Industrial Production Managers,Management Occupations,48.99556862,20.80662367,11.23093311,5.630835861,8.61513428,2.712041698
11-3061,Purchasing Managers,Management Occupations,48.57669811,27.16327081,6.361220336,5.595490991,7.1942173,2.262498679
11-3071,"Transportation, Storage, and Distribution Managers",Management Occupations,48.92021917,23.34061368,10.93020825,5.188295905,7.559910996,1.901190337
11-3111,Compensation and Benefits Managers,Management Occupations,49.50346489,25.4802646,9.392597922,8.19941481,5.021068002,1.410119552
11-3131,Training and Development Managers,Management Occupations,47.28636823,26.34103088,6.838425291,7.902189625,4.393046795,1.811675634
11-9021,Construction Managers,Management Occupations,48.90258304,20.93962179,14.27350491,5.59649013,6.156527075,1.936439128
11-9031,"Education Administrators, Preschool and Childcare Center/Program",Management Occupations,47.92579244,24.88093454,6.940836283,5.999006117,8.461775595,1.643239906
11-9032,"Education Administrators, Elementary and Secondary School",Management Occupations,48.04987532,23.06433776,9.336803888,6.646038121,6.79750403,2.205191517
11-9033,"Education Administrators, Postsecondary",Management Occupations,47.88439338,22.90156934,9.969612721,7.312714876,5.345726217,2.354770224
11-9041,Architectural and Engineering Managers,Management Occupations,48.71845248,21.95596511,11.9766051,6.635897424,6.084089129,2.065895712
