AREA,AREA_NAME,Employment,Automation Index,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race,Changing the Course of a Race,Lat,Long
11260,"Anchorage, AK",139410,0.372349807,2.030956383,-1.867499275,0.139493514,0.237543049,-0.168143864,62.212784,-149.678222
21820,"Fairbanks, AK",25010,0.108545519,2.547894942,-2.347539156,0.258843935,0.061364473,-0.412018675,64.676044,-146.548159
11500,"Anniston-Oxford-Jacksonville, AL",30560,0.524116887,2.22780956,-2.062743956,-0.031416808,0.543512497,-0.153044406,33.771706,-85.822513
12220,"Auburn-Opelika, AL",43360,0.321540166,1.859889929,-1.595267527,0.014824136,0.311052125,-0.268958497,32.604064,-85.353048
13820,"Birmingham-Hoover, AL",433010,0.372670399,2.261689246,-1.811231184,0.066117229,0.10278013,-0.246685023,33.462372,-86.814338
19460,"Decatur, AL",38730,0.352431194,2.048547599,-1.854177273,-0.105111268,0.490645513,-0.227473377,34.489361,-87.097147
20020,"Dothan, AL",42210,0.329495208,2.326703758,-1.887169353,-0.078320903,0.298649672,-0.330367966,31.245528,-85.46919
22520,"Florence-Muscle Shoals, AL",40630,0.499075788,2.526491108,-1.751141961,0.021954236,-0.163489023,-0.134738572,34.799254,-87.719388
23460,"Gadsden, AL",23070,0.680160657,1.900954805,-1.157627554,-0.248303972,0.332049386,-0.146912008,34.047641,-86.034263
26620,"Huntsville, AL",179630,0.312776686,2.263974308,-1.658333902,-0.08260091,-0.005384043,-0.204878767,34.783262,-86.734871
33660,"Mobile, AL",138820,0.415607171,2.518147119,-1.902618592,-0.02146886,0.083591199,-0.262043694,30.684572,-88.196568
33860,"Montgomery, AL",131360,0.343040581,1.967364385,-1.433334499,-0.03455827,0.147386626,-0.30381766,32.365631,-86.404585
46220,"Tuscaloosa, AL",76980,0.334812303,2.035665568,-1.723189425,0.183278253,0.146513207,-0.3074553,33.160611,-87.715166
22220,"Fayetteville-Springdale-Rogers, AR-MO",206180,0.321842495,2.89969865,-2.707181956,0.516957788,-0.247251851,-0.140380136,36.197633,-94.119897
22900,"Fort Smith, AR-OK",87230,0.443465308,2.677640306,-2.322407121,0.166892588,0.067353609,-0.146014074,35.195534,-94.562533
26300,"Hot Springs, AR",26670,0.253230424,2.633733188,-2.105411398,0.113489476,0.09368509,-0.482265932,34.578852,-93.146932
27860,"Jonesboro, AR",40670,0.449244683,3.044656906,-2.554352858,0.182195016,0.010052247,-0.233306628,35.69697,-90.650173
30780,"Little Rock-North Little Rock-Conway, AR",292470,0.285392103,2.219436571,-1.94003343,0.229250665,0.11687408,-0.340135783,34.755773,-92.400589
38220,"Pine Bluff, AR",19880,0.439876517,3.114501174,-2.693314015,0.222621031,-0.027707674,-0.176223999,34.081208,-91.945729
22380,"Flagstaff, AZ",44830,0.612381242,2.671352923,-1.482068973,-0.005337102,-0.457195333,-0.114370273,35.829692,-111.773728
29420,"Lake Havasu City-Kingman, AZ",39030,0.53896973,2.766352459,-2.062748409,0.05078969,-0.030013843,-0.185410167,35.717705,-113.749689
38060,"Phoenix-Mesa-Scottsdale, AZ",1802030,0.283593286,2.534840005,-2.38645498,0.283258062,0.108507433,-0.256557234,33.185765,-112.067862
39140,"Prescott, AZ",50360,0.425544113,2.820874638,-2.425865844,0.195499947,0.098504543,-0.263469171,34.631071,-112.577225
46060,"Tucson, AZ",314610,0.285051512,2.392135615,-2.095725102,0.038210195,0.245130095,-0.294699291,32.128043,-111.783657
49740,"Yuma, AZ",46990,0.576070035,2.988249648,-2.588058911,0.068731403,0.11287131,-0.005723415,32.773942,-113.910905
12540,"Bakersfield, CA",257660,0.363958193,1.083417328,-1.132041428,0.027231979,0.65337507,-0.268024756,35.346629,-118.729506
