AREA,AREA_NAME,Employment,Automation Index,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race,Changing the Course of a Race,Lat,Long
11260,"Anchorage, AK",139410,49.1140955,16.71500656,15.58550904,2.413085692,11.6321452,2.768349002,62.212784,-149.678222
21820,"Fairbanks, AK",25010,49.03059806,16.66555622,15.59795229,2.308755953,11.7568573,2.701476296,64.676044,-146.548159
11500,"Anniston-Oxford-Jacksonville, AL",30560,49.1291927,15.24394178,16.92227441,1.770009434,12.77176914,2.421197939,33.771706,-85.822513
12220,"Auburn-Opelika, AL",43360,48.93454759,15.42890917,16.27444932,1.915978979,12.91728453,2.39792559,32.604064,-85.353048
13820,"Birmingham-Hoover, AL",433010,49.28916739,16.70975624,16.24866472,2.311700668,11.24908743,2.769958332,33.462372,-86.814338
19460,"Decatur, AL",38730,49.00246862,14.9681366,17.37613298,1.729458879,12.58650857,2.342231591,34.489361,-87.097147
20020,"Dothan, AL",42210,49.10057869,15.90857651,16.51797781,1.755298521,12.38797159,2.53075426,31.245528,-85.46919
22520,"Florence-Muscle Shoals, AL",40630,49.16202779,15.74033726,16.70884554,1.7898911,12.36087289,2.562081002,34.799254,-87.719388
23460,"Gadsden, AL",23070,49.21010529,15.34803088,16.77099266,1.52303134,13.07042082,2.497629591,34.047641,-86.034263
26620,"Huntsville, AL",179630,49.31772747,17.24803453,15.55124393,2.926433077,10.73994341,2.852072523,34.783262,-86.734871
33660,"Mobile, AL",138820,49.22301647,16.0777849,16.83131677,1.930147655,11.742054,2.64171314,30.684572,-88.196568
33860,"Montgomery, AL",131360,49.30954919,16.21804813,16.56624592,2.21327842,11.50644319,2.805533516,32.365631,-86.404585
46220,"Tuscaloosa, AL",76980,49.04742362,15.24597521,16.97698274,2.020877713,12.36587435,2.437713609,33.160611,-87.715166
22220,"Fayetteville-Springdale-Rogers, AR-MO",206180,49.05964837,15.94294274,16.60834118,2.432507337,11.58662147,2.489235651,36.197633,-94.119897
22900,"Fort Smith, AR-OK",87230,49.11312856,15.31107567,17.09995934,2.006139586,12.26525539,2.430698571,35.195534,-94.562533
26300,"Hot Springs, AR",26670,48.89789098,16.17856838,15.29579839,1.813268842,13.27233468,2.337920682,34.578852,-93.146932
27860,"Jonesboro, AR",40670,48.9918475,16.25041269,15.60335238,2.040981631,12.65165516,2.445445643,35.69697,-90.650173
30780,"Little Rock-North Little Rock-Conway, AR",292470,49.13088907,16.67621624,15.81114723,2.531273848,11.45424918,2.658002575,34.755773,-92.400589
38220,"Pine Bluff, AR",19880,49.04032259,15.72888072,15.86089999,1.967018919,12.95441816,2.529104801,34.081208,-91.945729
22380,"Flagstaff, AZ",44830,48.81313182,16.14570567,15.37043882,2.089467237,12.91700348,2.290516623,35.829692,-111.773728
29420,"Lake Havasu City-Kingman, AZ",39030,49.09738268,16.00413233,16.18020025,1.841186725,12.55028765,2.521575723,35.717705,-113.749689
38060,"Phoenix-Mesa-Scottsdale, AZ",1802030,49.14951754,16.99317322,15.47941699,2.508106303,11.43784514,2.730975888,33.185765,-112.067862
39140,"Prescott, AZ",50360,48.88160854,16.22975634,15.47113054,2.071921005,12.73576689,2.373033761,34.631071,-112.577225
46060,"Tucson, AZ",314610,49.04564339,17.11397419,15.06049174,2.501828934,11.69211507,2.677233458,32.128043,-111.783657
49740,"Yuma, AZ",46990,48.96724382,14.82898809,17.53971802,1.661590104,12.59605212,2.340895481,32.773942,-113.910905
12540,"Bakersfield, CA",257660,48.74576286,13.07270497,18.890822,1.860691739,12.87732864,2.044215516,35.346629,-118.729506
17020,"Chico, CA",62250,48.80801197,15.71481462,15.41081289,1.989414552,13.31734334,2.375626573,39.665959,-121.601919
20940,"El Centro, CA",44330,48.5980235,13.9632212,17.19395489,1.733270963,13.6381364,2.06944006,33.040814,-115.3554
23420,"Fresno, CA",321840,48.86143876,14.43644662,17.31764175,1.947850675,12.88858755,2.270912163,36.761006,-119.655019
25260,"Hanford-Corcoran, CA",27820,48.75307809,14.10954802,17.24762502,1.854073095,13.36627547,2.175556479,36.072478,-119.81553
31080,"Los Angeles-Long Beach-Anaheim, CA",5283060,49.06698755,16.1868506,15.82536375,2.468535059,11.92390437,2.662333771,34.108705,-118.182745
31460,"Madera, CA",32020,48.52753934,11.6621599,19.62904122,1.460135421,13.92424172,1.851961088,37.209821,-119.749802
32900,"Merced, CA",55140,48.82766352,13.76452622,17.80403751,1.634127169,13.46580588,2.159166746,37.194806,-120.722802
33700,"Modesto, CA",150490,48.89749045,14.67468047,17.14826204,1.85695319,12.90139478,2.316199966,37.562316,-121.002831
34900,"Napa, CA",59880,48.63042836,14.99865379,16.5240928,1.806738411,13.30974606,1.991197304,38.5071,-122.325904
37100,"Oxnard-Thousand Oaks-Ventura, CA",262110,48.98804084,15.80843675,16.01865048,2.330636696,12.31283546,2.517481464,34.358741,-119.133143
39820,"Redding, CA",51510,48.87770813,15.92741046,15.54903221,2.07222017,12.90890269,2.420142598,40.760514,-122.043556
40140,"Riverside-San Bernardino-Ontario, CA",1291050,48.82181847,14.33603645,17.31950101,1.872422121,13.02046228,2.2733966,34.537534,-116.130921
40900,"Sacramento--Roseville--Arden-Arcade, CA",848760,49.09432491,16.32994823,15.80171274,2.625189133,11.64892933,2.688545479,38.789678,-121.00575
41500,"Salinas, CA",147470,48.58391926,12.20028591,19.51311022,1.514429505,13.55475008,1.801343545,36.240107,-121.315572
41740,"San Diego-Carlsbad, CA",1243990,49.07456024,16.37906358,15.69925305,2.603673849,11.74522437,2.647345397,33.023604,-116.776117
41860,"San Francisco-Oakland-Hayward, CA",2048160,49.04976487,16.61549255,15.5064789,2.975249266,11.23858978,2.713954373,37.773718,-122.274432
41940,"San Jose-Sunnyvale-Santa Clara, CA",927670,49.3332635,17.54889229,14.96225251,3.512303173,10.29992968,3.009885836,36.908472,-121.371372
