,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,Machine Control,General Physical Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Hazardous Task,Conflict Resolution,Management and Supervision
0,AK,Anchorage,0.44873314795884905,0.10947537548936873,0.05578902428924926,0.043114823345035684,0.01057152785508377,0.13939582387098828,0.04712673213374858,0.03584374163587694,0.01814141261892717,0.0382839374824356,0.03089858920046297,0.014747055932601484,0.01615153326786149,0.1689633593980291,0.04378127073107648,0.014956247601730747,0.03574039058221922,0.0212641446837672,0.03354305334651308,0.01967825245272237
1,AK,Fairbanks,0.4508528944496674,0.10738131995740617,0.05510806969535316,0.041949394725835,0.010323855536218032,0.14373912375215772,0.048023077526751626,0.03589915146278688,0.018344458951632343,0.04147243581098687,0.02778644150844302,0.01298444952601836,0.01480199198242466,0.17194600923166053,0.048783939610714866,0.015467552622759752,0.03689790667329525,0.02325700213333113,0.029487998963409482,0.01805160922815005
2,AL,Anniston-Oxford-Jacksonville,0.4597521697302422,0.09111682140618677,0.04256600071655235,0.03884241753897641,0.009708403150658,0.14852196383200605,0.04549651143929627,0.029189076318054164,0.02444647263184914,0.049389903442806464,0.0257608728534561,0.011475614068584196,0.014285258784871909,0.19435251163859332,0.04878581640964778,0.021097255482461115,0.041878459168882935,0.032616607962280886,0.0320342878082088,0.017940084807111813
3,AL,Auburn-Opelika,0.4780637482212791,0.1034354717331954,0.047882036774238,0.044561675779490016,0.010991759179467384,0.15418735594527014,0.048933097122602284,0.03265635092041888,0.022345595800678908,0.05025231210157007,0.02858253646852915,0.011588638286752068,0.016993898181777083,0.19185838407428432,0.055722998062129166,0.01800386246122993,0.03480344468755837,0.029595550768755287,0.03419532428086793,0.019537203813743624
4,AL,Birmingham-Hoover,0.4593313237230333,0.10714289327798264,0.05481012057421019,0.042242593170570296,0.010090179533202156,0.14668617094729405,0.0503389534625405,0.03589199136778323,0.020389618040076333,0.040065608076893966,0.031433930071560784,0.014809200381130875,0.016624729690429906,0.17406832942619585,0.04218225386950926,0.016656051393985054,0.0374508668125006,0.02513060788918185,0.032835121664875774,0.01981342779614331
5,AL,Decatur,0.4687634792613873,0.09052926409953277,0.042752681039032965,0.03804572957228464,0.009730853488215169,0.15335619762515795,0.04663636177078325,0.0313069607386288,0.024982151786972117,0.05043072332877378,0.026568338003262464,0.011818534721356092,0.014749803281906369,0.19830967953343406,0.04863164175707038,0.02139510865107314,0.04438633223485222,0.0338402174646364,0.03130763290787728,0.01874874651792466
6,AL,Dothan,0.4670338016409685,0.10321196152716756,0.04889493935004953,0.04375463709632607,0.010562385080791964,0.1505405275646774,0.049350521024797485,0.03365371135529184,0.021724286170838197,0.04581200901374989,0.026808514272751955,0.011432513722196157,0.0153760005505558,0.18647279827637164,0.0488169683393754,0.015663490112277217,0.03903325108519382,0.027789071474925892,0.03564172850082166,0.019528288763777633
7,AL,Florence-Muscle Shoals,0.4704391131972934,0.10143125504160157,0.04693861729897115,0.04416867935828693,0.010323958384343484,0.152108574525381,0.048422554300713884,0.03227500763187584,0.02160002496918963,0.04981098762360165,0.02632808221601035,0.010724511041792305,0.015603571174218045,0.19057120141430045,0.053171304851476635,0.016272224954120784,0.03831590121362563,0.029157718301763082,0.03556397003047113,0.018090082062843186
8,AL,Gadsden,0.4689909107477469,0.1072600255355021,0.04863691319391722,0.04770140136632752,0.01092171097525735,0.14832234093025304,0.048089855668007234,0.033800386157355165,0.01970040155138344,0.04673169755350716,0.026879797964322445,0.010814050733808108,0.01606574723051434,0.18652874631766936,0.05532944156455807,0.013326689897724259,0.03505890114766135,0.025338327948303856,0.03831090413949263,0.019164481619929213
9,AL,Huntsville,0.4445755754618286,0.10301161231273827,0.05437534557903292,0.03827198499604227,0.010364281737663107,0.14290344702559,0.04687190633114596,0.038354317054829314,0.019581418329790625,0.03809580530982408,0.04036685245986946,0.021451207079405482,0.018915645380463985,0.15829366366363085,0.03896983237639533,0.021185850504985032,0.02794998509618476,0.022615258413460692,0.02838533743103318,0.01918739984157184
10,AL,Mobile,0.46678487244706707,0.10145904827671198,0.05109336841574042,0.040441070441110734,0.009924609419860855,0.14966226885153394,0.04952413008420069,0.03429444590232601,0.021748632505581317,0.04409506035942595,0.028496075237041982,0.013213686286344041,0.015282388950697947,0.18716748008177905,0.04655840035057255,0.018344810253802368,0.042293659950682114,0.02834384296402014,0.032633063121525537,0.018993703441176343
11,AL,Montgomery,0.4674119691797086,0.10650169022338483,0.05510247797374463,0.04116506232594931,0.0102341499236909,0.1535531107517393,0.05076591094522685,0.0367618063952242,0.020974403053599742,0.04505099035768851,0.030793690652468942,0.014193152022014372,0.016600538630454575,0.17656347755211552,0.044644599486738726,0.017198783340985548,0.035677764687148394,0.02633960409682864,0.03307407115991709,0.01962865478049711
12,AL,Tuscaloosa,0.4626674829396894,0.09357696079185332,0.04498321798117043,0.03861072326946373,0.00998301954121917,0.15237237346944024,0.04700958154471279,0.0314165210399264,0.02358595863111236,0.050360312253688685,0.02555216897880498,0.01118828522697435,0.014363883751830632,0.1911659796995909,0.0488120306357997,0.019249624222326685,0.0403461520663813,0.03176226444749938,0.03279914545491662,0.018196762872667232
13,AR-MO,Fayetteville-Springdale-Rogers,0.4539408932540665,0.09466372611792967,0.047072507913766985,0.038058091222863175,0.009533126981299513,0.14596612196022074,0.04592709520154647,0.030852009069905657,0.023076166368064557,0.04611085132070406,0.02738958665479564,0.012381783142239677,0.01500780351255596,0.18592145852112044,0.04614348923691588,0.018270280999794542,0.04267763255855783,0.03143636905834109,0.029725253080772576,0.01766843358673853
14,AR-OK,Fort Smith,0.4606932924727472,0.0900537236552131,0.04288652995628955,0.037454577055005385,0.009712616643918164,0.14946322894117745,0.04738337792759517,0.030591118187283533,0.024389820805941004,0.047098912020357736,0.026260322905800264,0.011582816313119705,0.014677506592680562,0.1949160169705563,0.0482711426605698,0.01917843270448687,0.04402341277514772,0.03365356563657402,0.03207183635417921,0.017717626839598682
15,AR,Hot Springs,0.4629838829254834,0.10833303562490806,0.0495949384277128,0.04745236859676312,0.01128572860043214,0.14827261815649986,0.04778904918077724,0.03433099773927517,0.01908173966645501,0.047070831569992436,0.02500758978074137,0.009908231302270764,0.015099358478470609,0.1813706393633342,0.057560776431192284,0.012683523437848548,0.030474731447466118,0.024574114272197158,0.03805463851665617,0.01802285525797393
16,AR,Jonesboro,0.4620123692060129,0.0971997175479072,0.04465092807912597,0.04220398653559607,0.010344802933185184,0.14885852488849452,0.04590748234585397,0.03127449805007301,0.021865075861490845,0.04981146863107668,0.02627671066039259,0.011269538659676014,0.015007172000716575,0.18967741610921848,0.051277501062636816,0.01701230816095527,0.0380747076395542,0.02931670068512578,0.03570387205928501,0.018292326501661408
17,AR,Little Rock-North Little Rock-Conway,0.4518710907160857,0.10675057161091764,0.054514993435339984,0.042105911699339534,0.010129666476238138,0.14457433034051909,0.049854673691337344,0.03571565321408705,0.0192621860287978,0.03974181740629689,0.03140321983597392,0.01442274766075818,0.01698047217521574,0.16914296892867506,0.042544270145311376,0.01572984773734741,0.03467647054320055,0.023233697196936787,0.033822654659851216,0.01913602864602769
18,AR,Pine Bluff,0.4507405982959284,0.09136001549784538,0.043246416297216164,0.037856296761638784,0.010257302438990428,0.14376019993807046,0.04664826279137553,0.029637154506326858,0.02115907027329237,0.046315712367075705,0.02464438709482237,0.010233562001741426,0.014410825093080944,0.1909759957651902,0.05055255897303239,0.015470761870189859,0.039954406321652564,0.028762120238096062,0.03764281098022771,0.01859333738199162
19,AZ,Flagstaff,0.4662506730010792,0.10811959889111264,0.04944710974346324,0.04717785776517805,0.011494631382471357,0.1402051099032383,0.0428732551096714,0.03192159976446663,0.01701195203839426,0.04839830299070602,0.030543214546227944,0.012911553081478904,0.017631661464749038,0.18738274966050025,0.060727666423432324,0.013021560567023858,0.031354075127815864,0.024631649891934303,0.03773077518949769,0.019917022460796182
20,AZ,Lake Havasu City-Kingman,0.4733365824785773,0.10437181746275734,0.04972495689323779,0.04404034085639645,0.0106065197131231,0.15112736836387547,0.04772691877398241,0.03359777517965048,0.020080731121968204,0.04972194328827435,0.02652112912515539,0.010876413906715772,0.015644715218439617,0.19131626752678915,0.056127140829155917,0.014906035515028306,0.03920372508904429,0.026933355987882227,0.035082997824739406,0.01906301228093904
21,AZ,Phoenix-Mesa-Scottsdale,0.4637623186527767,0.11059556616491227,0.057545265225178825,0.04271118690768703,0.010339114032046428,0.14703124060537956,0.048849699735957285,0.036532798956116434,0.01920138742447581,0.04244735448883005,0.031696968737069946,0.015039755009278476,0.01665721372779147,0.17443854314541493,0.044978072197504285,0.017218372208474067,0.03743574434682485,0.02385383600755969,0.0324388166308992,0.018513701754152814
22,AZ,Prescott,0.4694180705044974,0.10480771821564948,0.050448722900970834,0.04384573893535037,0.010513256379328272,0.1459290255670687,0.04648134895433114,0.03213207965102438,0.020017933787402586,0.047297663174310584,0.02743045355648184,0.011474282074591618,0.015956171481890224,0.19125087316529732,0.05523397241524477,0.014900277006311337,0.039416340678233484,0.02717786462093252,0.03534061795269645,0.01918180049187879
23,AZ,Tucson,0.4592613378864912,0.11143797299386757,0.05722974973793531,0.0435910619345687,0.010617161321363556,0.14431463169204597,0.04935524952144819,0.036585666379633314,0.018509713322537903,0.03986400246842661,0.03453750934904765,0.015888852366443787,0.018648656982603852,0.16897122385153,0.043886094978302766,0.015876663317986782,0.03225911304927459,0.02186035709458124,0.035341700254267354,0.019747295157117255
