,State,Metropolitan Areas,Race with the Machine,Communication,Interpersonal Task,Group Task,Race against the Machine,Routine Problem Solving,Information Processing,General Physical Task,Machine Control,Hazardous Task,Race ahead of the Machine,Systems Analysis,Creative and Critical Thinking,Running a Different Race,Dynamic Physical Task,Equipment Maintenance,Vehicle and Equipment Operation,Conflict Resolution,Management and Supervision
0,AK,Anchorage,0.014126581343790969,0.004896464134819339,0.0060567147732782526,0.0031734024356933725,-0.013069990854239237,-0.005217325733152416,-0.003039918036984668,-0.0021485563345006453,-0.0007042387507381688,-0.0019599519988633234,0.001703084776752392,0.0006223498678409791,0.0010807349089114113,0.0019789722934805964,-0.0049421183854440115,-0.000831417576345082,-0.0048388580135008685,0.007772752583071681,0.004818613685698865
1,AK,Fairbanks,0.016872937354615147,0.0024210815316827172,0.01013596165624002,0.004315894166692403,-0.018868103591121958,-0.007773068411581159,-0.005237633027300254,-0.0024748778001942376,-0.00044856972302548606,-0.0029339546290208236,0.005045439690007161,0.002326751007988509,0.0027186886820186537,0.006640410093490645,-0.006022575379444374,-0.0012024571538157278,-0.006811006299090091,0.01233771878717206,0.00833873013866876
2,AL,Anniston-Oxford-Jacksonville,0.01963018275978795,0.005531294538110007,0.010035639918463742,0.004063248303214214,-0.012761581256779621,-0.004288300317728359,-0.00226434059843908,-0.003981570631206646,-0.0008465008431603124,-0.0013808688662451905,-0.0009544374099448133,-0.0008346151229572541,-0.00011982228698755733,0.0023513215825239357,-0.0034485580857646983,-0.0006112706789752551,-0.004763253209625415,0.006968113532511769,0.004206290024377543
3,AL,Auburn-Opelika,0.015692621806646642,0.004706436244612297,0.007636727593685042,0.0033494579683493106,-0.024317918876492983,-0.009877345901262729,-0.006393857305596235,-0.00511845810321649,-0.0010031844004432904,-0.001925073165974248,-0.0013240329503578366,-2.3764484487522053e-06,-0.0013216565019090849,0.0020938091251626045,-0.007175003005422806,-0.0015912014954690306,0.0006861666891906647,0.0069190535047313,0.003254793432132499
4,AL,Birmingham-Hoover,0.016169160786254258,0.005396977765344237,0.007163434269840091,0.003608748751069925,-0.015402928775597237,-0.00783157481080378,-0.002147049260522657,-0.0035847728223183796,-0.00033196628220320476,-0.0015075655997492492,0.0010720320221878493,0.00025472092894512563,0.0008173110932427237,0.003550189561828621,-0.0037328900525136354,-0.00013161214832474802,-0.0032083424730532176,0.006526196242436583,0.004096837993283645
5,AL,Decatur,0.0188430711927636,0.0056626884054331245,0.009149001573259109,0.004031381214071362,-0.019300858775600168,-0.006499592848798683,-0.0036252887061731416,-0.005839164779570284,-0.00023936774001188926,-0.0030974447010461733,-0.00039610030769101495,-2.9657357233500374e-05,-0.0003664429504575129,0.007492754891188197,-0.0018519107136554735,-0.000508585525938441,-0.0014788639479965044,0.007973079664770587,0.0033590354140080147
6,AL,Dothan,0.018530029991204927,0.003197352440641253,0.011925246065201343,0.00340743148536234,-0.02591699434930103,-0.009570049645594313,-0.00549869695375054,-0.0049539274871370905,-0.0018348427234438844,-0.004059477539375224,-0.001530791377470666,-0.0009633851748346578,-0.0005674062026360081,0.00923215020304069,-0.002898920429338821,-0.0006014053492244957,0.000532574345492462,0.00922432386527878,0.0029755777708327827
7,AL,Florence-Muscle Shoals,0.014595273104107534,0.003940753617918541,0.006531330656569273,0.004123188829619722,-0.017648597648447256,-0.008546852982010335,-0.005406404758774533,-0.004888366312501599,0.0012117661281622026,-1.8739723323002444e-05,-0.0012450237050303167,6.0549421257077844e-05,-0.0013055731262873911,0.008893555722885109,-0.005085273024222063,0.0033709411375889733,0.0021089576002682256,0.0049424953586003845,0.003556434650649597
8,AL,Gadsden,0.005753307055485074,-0.00017068320000246384,0.0029793029812479124,0.002944687274239629,-0.0038140912708424244,-0.00762419930629428,-0.005976533567541013,-0.0007574391552615245,0.0039768318377215615,0.006567248920532825,-0.00396786298687362,-0.0009194638469894723,-0.003048399139884146,0.004927627847086225,-0.007610666007573708,0.003902836066482332,0.0022967866471828233,0.003374108637955044,0.002964562503039725
9,AL,Huntsville,0.017620285357969348,0.007275487443737877,0.006624331499127029,0.003720466415104432,-0.012009562894313208,-0.0041758483740900534,0.00016954365787777426,-0.005499432596884264,-0.0007515700801757827,-0.0017522555010409215,0.0017243958494045505,0.0005434570536536863,0.0011809387957508642,0.00031459733850117133,-0.005921175578446077,-0.0021215759858459853,-0.0029416879519591,0.006042367149995072,0.005256669704757248
10,AL,Mobile,0.01859915875660781,0.006059551337251931,0.009147261023589898,0.0033923463957659817,-0.01872949775004804,-0.009152138160134098,-0.003729997378727971,-0.0030294202138050693,-0.0010529150427332698,-0.0017650269546476242,-0.00037506702294407696,-1.6248453249734576e-05,-0.0003588185696943424,0.0018877027431123683,-0.0036869482485882977,-1.4888956578668067e-05,-0.004335298198666127,0.005787269254728679,0.004137568892216789
11,AL,Montgomery,0.012467371214955976,0.002841459175366691,0.006097564313159935,0.0035283477264293453,-0.019421667319064608,-0.008103078898705977,-0.005286708288244069,-0.005192983675881106,0.0003130217096524411,-0.0011519181658858726,-0.0006903726876752897,-0.0002030416486882552,-0.00048733103898703634,0.004602607351681998,-0.0036502753339892405,-8.205155527491945e-05,-0.0004696883747003152,0.005191864389775418,0.0036127582258710686
12,AL,Tuscaloosa,0.013787261484574362,0.0039064463577353145,0.00616668365196555,0.0037141314748734898,-0.014845167265414157,-0.006863959822591324,-0.003170102694449475,-0.004919692781209108,0.0011486016877834927,-0.001040013654947755,0.0024602451627879877,0.00133215213430566,0.0011280930284823295,0.005047704811960152,-0.00376460403037885,0.0006635670951094796,-0.002237468309690363,0.005288412129830168,0.005097797927089729
13,AR-MO,Fayetteville-Springdale-Rogers,0.018226430578987558,0.0065127160872832865,0.007660218050963742,0.004053496440740515,-0.02067315546920745,-0.006271444762748568,-0.0013322064617035804,-0.006558964322192884,-0.0016061709612007792,-0.004904368961361653,0.0052543560413014214,0.00305316536857792,0.002201190672723499,0.005993275131373489,-0.005135200071031833,-0.0009895261539838854,-0.002295584057217317,0.007109994252798066,0.007303591160808483
14,AR-OK,Fort Smith,0.021504570779557697,0.007883449850940617,0.009628304254701472,0.003992816673915603,-0.022511931244789674,-0.0070910956882452095,-0.001553917394672772,-0.005623437983365773,-0.001987135999966593,-0.006256344178539292,0.0013239574633189947,0.0008281400868528441,0.0004958173764661473,0.001939345707156398,-0.005635456663279047,-0.002285702694205919,-0.005507759696038013,0.008978398358990204,0.00638986640168919
15,AR,Hot Springs,0.016224095199438317,0.00217581014987335,0.010526061724496008,0.003522223325068961,-0.023473980832668082,-0.011103641874435084,-0.006486945445099129,-0.002903800498309052,-0.0003922284961295208,-0.0025873645186952864,0.0013424140164787456,0.0011558025433994511,0.00018661147307929248,0.008027545318584878,-0.007095413827296926,0.0004008527180450212,-0.0010190692723039546,0.009789792263734269,0.005951383436406464
16,AR,Jonesboro,0.021592935048707268,0.007400232737975915,0.010069827649208213,0.004122874661523139,-0.025874614792131045,-0.0073891236503502095,-0.004819438336897519,-0.008080672952088669,-0.0021826114723190806,-0.003402768380475582,0.0018368074530142745,0.0007473521463905383,0.0010894553066237364,-0.0005366144221134461,-0.0068094350416982715,-0.002150832992085858,-0.004373606039238219,0.007819151997846463,0.00497810765306244
17,AR,Little Rock-North Little Rock-Conway,0.014645760577770728,0.004348422401617473,0.006993658765173265,0.003303679410979997,-0.020161620436390748,-0.009471361493674342,-0.0021416257584307707,-0.004074021526879522,-0.0016871110146549904,-0.0027875006427511284,0.0029441803962291717,0.0017459109178200609,0.0011982694784091127,0.004447148162950443,-0.0042385369578413,-0.0008178627355532719,-0.002938448572447988,0.006362286231146125,0.006079710197646908
18,AR,Pine Bluff,0.020745772247715743,0.004558494649509325,0.0113642535729635,0.004823024025242925,-0.01424742053304845,-0.004736819780770944,-0.0020964048584232423,-0.005694496747475498,0.0003491709243684284,-0.0020688700707471863,0.0018325861949953434,0.0005711041748489836,0.001261482020146358,0.00554658415283138,-0.0053357624338962175,-7.135359689351348e-05,-0.004206846869198734,0.010740690780127885,0.004419856272691943
19,AZ,Flagstaff,0.013943563160329771,0.0032369765355130878,0.007808575530323485,0.002898011094493193,-0.021547208947199557,-0.00840242873462934,-0.0053943605738239475,-0.003361214100060031,3.361760862191643e-05,-0.004422823147308143,-0.001534447348561667,-0.00023019539709245865,-0.0013042519514692085,0.005302005228130013,-0.005975965018965572,-0.0003969084607320633,-0.0024527289883014905,0.0076671932913345425,0.0064604144047946295
20,AZ,Lake Havasu City-Kingman,0.018125155909298474,0.005600599681288822,0.00925081825526098,0.003273737972748677,-0.02262623511961068,-0.00801296395603869,-0.005099263644401181,-0.0060145599220207185,0.0002509594382610475,-0.0037504070354111296,-0.0007173329603132605,0.0002892768069213975,-0.0010066097672346563,0.001898397439414584,-0.008435248590294805,0.0008169571640529483,-0.0037921883663451094,0.009237428811462674,0.004071448420538873
21,AZ,Phoenix-Mesa-Scottsdale,0.01515418109148389,0.0055466561015161744,0.006818897817844755,0.002788627172122967,-0.022215984373480324,-0.008043040479915123,-0.0028522862595393647,-0.006310728151193039,-0.001505024198241934,-0.0035049052845908747,0.002746374888472472,0.0014816546888443154,0.0012647201996281582,-0.0016860196710368205,-0.006306537181338022,-0.0022508169902211352,-0.006626860365190331,0.00789346187815599,0.005604732987556687
22,AZ,Prescott,0.020325886360753984,0.00509731107288576,0.01124941970861358,0.0039791555792546346,-0.02303695572436701,-0.00887922984208301,-0.004373546279324545,-0.003717409319169411,-0.0012382433383657035,-0.004828526945424339,-0.0003846268066062184,0.00015888213656130648,-0.0005435089431675248,0.001361072945564229,-0.005760120404192763,-0.0013104415975611922,-0.007776880488418966,0.010297290516966965,0.005911224918770202
23,AZ,Tucson,0.01690477685826458,0.006578126753389001,0.0075405261883093955,0.0027861239165661803,-0.022021253583498133,-0.008723410956419736,-0.0036488924787537735,-0.0047818118573775825,-0.0017214537516316193,-0.003145684539315453,0.0003398705436673116,0.00047606816345156436,-0.00013619761978424932,0.0010345099097446298,-0.004216132115530201,-0.0020149964870554045,-0.004202326705329403,0.006964026296568275,0.0045039389210913645
