,State,Metropolitan Areas,Automation Index,Race with the Machine,Communication,Managerial Task,Clerical Task,Equipment Maintenance,Race against the Machine,Information Processing,Perceptual Task,Equipment Operation,Operation Monitoring,Physical Task,Race ahead of the Machine,Strategic Thinking,Running a Different Race,Dynamic Physical Task,Hazardous Task,Group Task,Conflict Resolution,Creative Thinking,Changing the Course of a Race,Routine Task
0, AK,Anchorage,0.372349807,2.030956383,0.951932396,0.6144768079999999,0.525229835,-0.060682657,-1.867499275,-0.310791067,-0.617162843,-0.278434406,-0.41659376,-0.2445172,0.139493514,0.139493514,0.237543049,-0.400761984,-0.225121007,0.203881952,0.7497923540000001,-0.090248266,-0.16814386399999998,-0.16814386399999998
1, AK,Fairbanks,0.108545519,2.547894942,1.227841021,0.830753579,0.516904635,-0.027604292,-2.347539156,-0.710915995,-0.49771398,-0.267419574,-0.646732939,-0.224756669,0.258843935,0.258843935,0.061364473,-0.6159124420000001,-0.246565489,0.210216548,0.816072639,-0.102446784,-0.412018675,-0.412018675
2, AL,Anniston-Oxford-Jacksonville,0.524116887,2.22780956,1.439601914,0.6773496920000001,0.401217639,-0.290359686,-2.062743956,-0.408083796,-0.682127934,0.037414905,-0.472859517,-0.5370876139999999,-0.031416808,-0.031416808,0.543512497,-0.108473574,-0.13004626,0.35419001200000005,0.554537884,-0.126695565,-0.153044406,-0.153044406
3, AL,Auburn-Opelika,0.321540166,1.859889929,1.083940818,0.540616786,0.15009962,0.085232704,-1.595267527,-0.830887004,0.132081283,0.229180164,-0.701728233,-0.423913738,0.014824136000000003,0.014824136000000003,0.311052125,-0.412152906,0.064252328,0.256355865,0.55252946,-0.149932622,-0.268958497,-0.268958497
4, AL,Birmingham-Hoover,0.372670399,2.261689246,1.056800643,0.5604340170000001,0.571309315,0.073145271,-1.811231184,-0.35242400100000004,-0.344338707,-0.046535535,-0.582090353,-0.485842586,0.066117229,0.066117229,0.10278013,-0.370305744,-0.107456542,0.17885506,0.506080463,-0.104393107,-0.246685023,-0.246685023
5, AL,Decatur,0.352431194,2.048547599,1.240249042,0.324711144,0.342191643,0.14139577,-1.854177273,-0.634026632,-0.054419345999999987,-0.084720245,-0.55563162,-0.52537943,-0.105111268,-0.105111268,0.490645513,-0.064426543,-0.06086416,0.235980757,0.5373127879999999,-0.15735733,-0.227473377,-0.227473377
6, AL,Dothan,0.329495208,2.3267037580000003,1.475409914,0.3713950170000001,0.30945198,0.17044684699999998,-1.887169353,-0.73145557,0.055134103,0.029062637,-0.635996872,-0.60391365,-0.078320903,-0.078320903,0.298649672,-0.305736141,-0.108245366,0.161969856,0.692620969,-0.141959645,-0.330367966,-0.330367966
7, AL,Florence-Muscle Shoals,0.499075788,2.526491108,1.101153922,0.57936903,0.495787268,0.350180888,-1.751141961,-0.672480637,-0.036008051,0.306922824,-0.560647803,-0.7889282940000001,0.021954236,0.021954236,-0.163489023,-0.6497544679999999,0.024132529,0.242721594,0.360961641,-0.141550319,-0.134738572,-0.134738572
8, AL,Gadsden,0.6801606570000001,1.900954805,0.978784517,0.458068842,0.187051706,0.27704974,-1.157627554,-0.689595704,-0.180620148,0.642211898,-0.538158402,-0.391465197,-0.248303972,-0.248303972,0.332049386,-0.431819868,0.250190507,0.297102647,0.448758937,-0.232182837,-0.146912008,-0.146912008
9, AL,Huntsville,0.312776686,2.2639743080000003,1.0110206940000002,0.607434417,0.7467103490000001,-0.101191151,-1.658333902,-0.105940677,-0.304322572,-0.189945873,-0.405694218,-0.652430562,-0.08260091,-0.08260091,-0.005384043000000001,-0.569063479,-0.120523038,0.190617969,0.500958241,-0.007373736,-0.204878767,-0.204878767
