,State,Metropolitan Areas,Automation Index,Race with the Machine,Interpersonal Task,Administrative Task and Communication,Race against the Machine,Information Processing,Routine Problem Solving,Vehicle and Equipment Operation,Machine Control,General Physical Task,Race ahead of the Machine,Systems Thinking,Creative and Critical Thinking,Running a Different Race,Equipment Maintenance,Dynamic Physical Task,Hazardous and Group Task,Conflict Resolution,Management and Supervision
0,AK,Anchorage,0.005598115844703377,0.016626004635042668,0.009534720480811526,0.007091284154231103,-0.017539205626913832,-0.003483631635097871,-0.0018165957654104961,-0.0060088310655741885,-0.0019992495563887977,-0.004230897604442473,0.0017750613798668755,0.0009723245058888863,0.0008027368739779751,0.004736255456707666,-0.005169542415445493,-0.002209639033899924,0.000324235666486504,0.00778352189103872,0.004007679348527886
1,AK,Fairbanks,0.003093314724757379,0.017915920992523204,0.011189945094899498,0.006725975897623747,-0.02458671802278037,-0.007031788806439357,-0.004386113786358421,-0.00586948375508136,-0.00154236029969022,-0.00575697137521098,0.00404825323875627,0.0017338842853299814,0.00231436895342629,0.005715858516258415,-0.005793376718221124,-0.0038923572092655493,0.00026424252115405533,0.009584020532027851,0.005553329390563164
2,AL,Anniston-Oxford-Jacksonville,0.007239230354982473,0.01946685414309061,0.013889513292739145,0.005577340850351414,-0.020021397419289017,-0.00474324812918428,-0.0019258046951832824,-0.006503936110055182,0.00046165778541206603,-0.0073100662702783314,-0.0012915118635735238,-0.0005595327729135697,-0.0007319790906599316,0.00908528549475443,-0.007078896871709709,0.0013442674466986745,0.0031466043025429186,0.00570964572300316,0.0059636648942193934
3,AL,Auburn-Opelika,0.005694560213025225,0.013114985729452813,0.010055305310337659,0.003059680419115161,-0.014582522597831243,-0.008329149911079942,-0.004333043299695992,0.002494789779782305,0.002404155504792817,-0.006819274671630446,-0.0007535991377672774,0.0005580855605024844,-0.0013116846982697374,0.007915696219171264,-0.004994118495034689,-0.001497470007963117,0.0036764648318072103,0.006097347258368288,0.004633472631993582
4,AL,Birmingham-Hoover,0.00562529953902674,0.01767159440312109,0.01020581346199935,0.007465780941121652,-0.01725299217338394,-0.003342580322282615,-0.003421597872122775,-0.0031136295310044827,-0.0006280789896187626,-0.006747105458355253,0.0005298163308719156,0.0005901520892545241,-6.0335758382587534e-05,0.00467688097841784,-0.004186408136109692,-0.0021026425170814766,0.0014774425791307458,0.005366859084586253,0.004121629967892015
5,AL,Decatur,0.006040607784285057,0.016355638823875533,0.011489321045764632,0.004866317778111001,-0.017036683364786892,-0.006988265269485847,-0.003040736400508795,0.00014722046718197018,-0.000595536170072547,-0.006559365991901635,-0.002753255022971433,-0.0005420070261646561,-0.002211247996806791,0.009474907348167584,-0.0032539875719557227,0.0013211826678136696,0.003010738448130205,0.005541839470869378,0.002855134333310045
6,AL,Dothan,0.0054350923238439255,0.01898730667041605,0.014038074094957095,0.004949232575458935,-0.019315258035457555,-0.0069779163990266214,-0.00421844466846634,0.0009860306510062061,-0.0010873216306077696,-0.00801760598836302,-0.0014702052396361775,-0.0003803463007148646,-0.0010898589389213113,0.0072332489285215065,-0.003379842451519618,-0.0013882334883399128,0.0014642539437766805,0.00707186997854707,0.003465200946057321
7,AL,Florence-Muscle Shoals,0.007161425984493264,0.016745585195205012,0.010091336102336793,0.006654249092868257,-0.015590928500539588,-0.006575629905505382,-0.0026105811892294943,0.0008261981621066616,0.002911868422157439,-0.0101427839900688,-0.0005399920478365364,0.0006931712553448037,-0.0012331633031813331,0.006546761337664075,-0.0015211191815137845,-0.003869127188277331,0.003274781088827547,0.0037054882981756576,0.004956738320451964
8,AL,Gadsden,0.008891112869755856,0.013550681777450072,0.009708681534551957,0.0038420002428981173,-0.011422925511540756,-0.006440730690554611,-0.002894266004575548,-0.0010926003426522182,0.004991727385801753,-0.0059870558595601355,-0.00493109323235939,-0.0010105584033262664,-0.003920534829033132,0.011694449836206128,-0.0012253711787545624,-0.002211376617766214,0.005970631779027083,0.004431231273696649,0.004729334580003174
9,AL,Huntsville,0.00484485901953563,0.018859238478991472,0.009775704685973836,0.009083533793017571,-0.015235400386767878,-0.001315399387900658,-0.0010297647783190577,-0.0027199659229024988,-0.0016294216757912414,-0.008540848621854433,-0.00046445065353627185,-5.0702138053020096e-05,-0.00041374851548318936,0.0016854715808486134,-0.0058071424440745865,-0.003822107477401665,0.001329129285187164,0.005306072937656319,0.004679519279481407
10,AL,Mobile,0.006284522350199996,0.019908812675880558,0.011770724665981287,0.008138088009899312,-0.017929520830798382,-0.005153265933134457,-0.0032203148534818565,-0.0022502279394787245,-0.0009931347764153972,-0.0063125773282879105,-0.0010369377121398037,0.0002629018958111278,-0.0012998396079509401,0.005342168217257609,-0.003880854177156022,-0.0015766872222127346,0.002248499081463344,0.004300001398612557,0.004251209136550464
11,AL,Montgomery,0.005497541614597756,0.014485658199501525,0.009148984904037635,0.0053366732954638965,-0.015504345606095619,-0.006016305769211493,-0.0037428527796626726,0.0009865300167183411,0.00016985505929703604,-0.006901572133236819,-0.001077218014407598,0.00042086150042797133,-0.0014980795148355384,0.007593447035599694,-0.0024819538261274077,-0.0012067905367916384,0.0031741469411119896,0.003910349514858053,0.004197694942548659
12,AL,Tuscaloosa,0.005638234576314738,0.013386898566684331,0.008858901290252276,0.004527997276432078,-0.017662623498248015,-0.005612448481134061,-0.003773713087723389,-0.0017305899424852821,0.0006131048830078853,-0.0071589768699131875,0.0016439471543479682,0.0012432515234266069,0.0004006956309213355,0.00827001235353017,-0.002277275257496502,-0.001565786862920096,0.0032000287570571264,0.0038961243142380045,0.005016921402651652
13,AR-MO,Fayetteville-Springdale-Rogers,0.004868669046950824,0.0204499547623236,0.011663886715729524,0.00878606804659413,-0.0253736753366168,-0.002628178122010223,-0.0014063950824920873,-0.004339038907199569,-0.006005849600035855,-0.010994213624879054,0.007853015955020906,0.0045035121217391946,0.0033495038332817355,0.0019393736662233765,-0.005582881487194661,-0.0047455031525363905,-0.0008602190596497943,0.005179017617704337,0.007948959747899867
14,AR-OK,Fort Smith,0.006374432838263665,0.021885631842037262,0.0132002032194972,0.008685428622540181,-0.020297649142255986,-0.003784672345652579,-0.002043919084657099,-0.004434451996634399,-0.0029623842866754392,-0.007072221428636491,0.0015487937390593828,0.0014214384535879091,0.00012735528547143382,0.0032376563994229173,-0.007527434733722552,-0.002164038951133755,-0.0006755853816097709,0.0069639115447734795,0.006640803921115554
15,AR,Hot Springs,0.0046882897701073225,0.017284544619426037,0.01359277419687113,0.0036917704225548705,-0.02161390107021552,-0.009071672640701852,-0.005939332151175765,-7.465837921447754e-05,0.0008242731659440228,-0.007352511065067464,0.0012546544769434821,0.0012903878819712654,-3.573340502779215e-05,0.0077629917439535345,-0.004004000998227137,-0.0045466177222915705,0.002020189439869493,0.007916760828478921,0.006376660196123776
16,AR,Jonesboro,0.0064320674624773755,0.023386664457155957,0.014071621298325232,0.009315043158830742,-0.023969606808763644,-0.007416947980504542,-0.0018951313612534245,-0.002488406732902265,-0.0013652651374898188,-0.0108038555966136,0.002160324764285012,0.0013618503143078187,0.000798474449977174,0.0048546850498002725,-0.004931770806240323,-0.003970886854424878,0.0024674379247853345,0.005276390665653656,0.006013514120026504
17,AR,Little Rock-North Little Rock-Conway,0.0047969127964869185,0.015187996259978576,0.009507403256264405,0.005680593003714186,-0.01852050854273957,-0.0031167599188201968,-0.004510219034024016,-0.0029047263511769307,-0.0014477655600486359,-0.006541037678669807,0.0033130015116507178,0.002350501862201244,0.0009624996494495099,0.0048164235675969,-0.005255093906445737,-0.002274491816144454,0.0012329620494274662,0.004916336589854291,0.006196710650905352
18,AR,Pine Bluff,0.0062522473247964006,0.02652266234097977,0.015999911523169666,0.010522750817810102,-0.02642963053983674,-0.0036323048752700923,0.00036533520174292927,-0.004456327703233329,-0.005656527656326463,-0.0130498055067498,0.002740938421745755,0.001904842403562491,0.0008360960181832515,0.0034182771019076186,-0.005140670042902715,-0.005102604896565145,0.00139257093288625,0.007328209843337978,0.004940771265151254
19,AZ,Flagstaff,0.007858333247319327,0.01819886925630465,0.011623486377667587,0.006575382878637077,-0.015620354670771497,-0.00429459349053957,-0.002678776501211115,-0.0021938494014394593,0.0006897142892339192,-0.007142849566815247,-0.0005397452044974618,0.0007664182018983449,-0.001306163406395798,0.005819563866283517,-0.0025359638097905944,-0.004661353770211346,0.0003081242911363372,0.005029994929734875,0.007678762225414221
20,AZ,Lake Havasu City-Kingman,0.007238027690066207,0.021514939382539885,0.014587063488395788,0.006927875894143995,-0.02115656147121131,-0.0055671852377346745,-0.002818551885141525,-0.0036919222158928533,0.0002162214251433224,-0.009295123557585593,-0.0007890362980030041,0.000530028179751129,-0.0013190644777541574,0.007668686076741066,-0.003475417959905802,-0.004319697470085579,0.001026368581509722,0.008310009406186682,0.0061274235190360545
21,AZ,Phoenix-Mesa-Scottsdale,0.004676508445493,0.019846641521672648,0.012323163872930884,0.007523477648741714,-0.022789556722173362,-0.0031503046511442627,-0.0032128332153823977,-0.0067485800036071256,-0.0015157187649504494,-0.008162120087089143,0.0036110826924285046,0.0020762576041153426,0.001534825088313159,0.004008340953565337,-0.006108208028862635,-0.003376110012426457,0.00041827768559990486,0.0076541718495470425,0.005420209459707455
