,State,Metropolitan Areas,Race with the Machine,Interpersonal Task,Group Task,Conflict Resolution,Management and Supervision,Race ahead of the Machine,Communication,Systems Analysis,Creative and Critical Thinking,Changing the Course of the Race,Routine Problem Solving,Information Processing,Race against the Machine,General Physical Task,Dynamic Physical Task,Running a Different Race,Equipment Maintenance,Vehicle and Equipment Operation,Machine Control,Hazardous Task
0,AK,Anchorage,0.03222460279165887,0.009352851784914636,0.004390191752486975,0.01063347379415133,0.00784808546010594,0.014808757757545532,0.009318191937205185,0.002672147839905159,0.002818417980435195,-0.001975193961267302,-0.001996208218674793,2.1014257407490907e-05,-0.003890855465423254,-3.4137291063648934e-05,-0.0038567181743595982,-0.002381287192956077,-1.0381642095510719e-05,-0.0020876911679656857,0.00020341603586775459,-0.00048663041876262716
1,AK,Fairbanks,0.0404300609095416,0.012156438466183556,0.005149992668229844,0.013931784312445348,0.00919184546268286,0.0063451724874762925,0.004289933166183653,0.0016383330463713187,0.00041690627492132,-0.01259582583073994,-0.006649539237265287,-0.005946286593474664,-0.00027254257733919096,0.002050799462042778,-0.002323342039381969,0.003748378515698689,0.0008403093161883679,0.0014156200432970114,0.0012840023857357311,0.00020844677047758558
2,AL,Anniston-Oxford-Jacksonville,0.026704645198823304,0.011089791854796577,0.0042199607442321724,0.006749833018019576,0.004645059581774979,0.0075302896590570545,0.008428877974493862,-0.00043034230879138684,-0.00046824600664542235,-0.002825069675082586,-0.001653894297926235,-0.001171175377156351,-0.0023365678933250232,-0.00035043863606126074,-0.001986129257263755,0.0038719856073453633,0.002821696589364455,-0.0026229201794677397,0.0020646609011322065,0.001608548296316445
3,AL,Auburn-Opelika,0.0215849456722515,0.007557072199194069,0.0033831353006412873,0.00658395723806169,0.004060780934354455,0.00480211439855005,0.005307402416924331,0.0006391741383387911,-0.0011444621567130722,-0.01480748672015661,-0.008700676284963134,-0.006106810435193483,-0.007163924937782369,-0.00246859775676727,-0.004695327181015098,0.006235957070986231,0.0001455820840815976,0.006643745043750336,0.0005578418086259923,-0.0011112118654716778
4,AL,Birmingham-Hoover,0.027478300034716397,0.009234820972550128,0.004311300669038815,0.008389626762596608,0.005542551630530832,0.012979436807260795,0.009390537585812077,0.0016550543910139016,0.0019338448304348187,-0.0051662354679610925,-0.005413173208487747,0.00024693774052664963,-0.004878471860318922,-0.002114907899053428,-0.0027635639612654875,-8.926193296324159e-05,0.0008355341449080601,-0.001100988738324843,0.0007535604235012656,-0.0005773677630477278
5,AL,Decatur,0.02654759050871397,0.00968567491862593,0.0048631818443792075,0.008171460250501812,0.0038272734952070203,0.009511996578784876,0.007689836280299005,0.0011983029270810285,0.0006238573714048411,-0.0058445807911320785,-0.0039119450938381725,-0.001932635697293895,-0.008148143559336643,-0.005472785950957196,-0.002675357608379447,-0.00011495123861521296,0.0010769694552240257,-0.0012189630896663473,0.0005376664992666097,-0.0005106241034395081
6,AL,Dothan,0.03204827220735115,0.013828378271590384,0.004061491064719636,0.010657752585113764,0.003500650285927352,0.007764561911944745,0.007159364547251946,0.00020948115483435638,0.00039571620985843874,-0.011165143140956846,-0.0070617400666687655,-0.0041034030742880786,-0.00557762963963887,-0.0034955124993120354,-0.0020821171403268353,-0.001607789656036071,0.0005760002305044075,0.001277333209372275,-0.0003952423042934555,-0.003065880791619315
7,AL,Florence-Muscle Shoals,0.02701953751781351,0.00960783904090344,0.004887003426736422,0.007112612079897683,0.005412082970275966,0.00950085042833064,0.008040423020967906,0.0013687688865462993,9.165852081643652e-05,-0.011422115782516687,-0.00752221837912645,-0.0038998974033902407,-0.011592924938240684,-0.0057252593100572185,-0.005867665628183465,0.005015716990824343,0.003835352551641353,0.0025686228134114424,-1.472905220492246e-05,-0.0013735293220235208
8,AL,Gadsden,0.025101821692816176,0.007670080619288706,0.004872546863013093,0.009014256241055896,0.00354493796945848,0.004933123817733823,0.008651481178233646,-0.0010443263121533847,-0.002674031048346447,-0.008659923501142114,-0.005011608787036138,-0.003648314714105976,-0.006409504850101638,-0.00157278492548419,-0.0048367199246174475,0.007191457231236127,0.0024009159370612728,0.0005857976177712082,0.002901432416075773,0.0013033112603278649
9,AL,Huntsville,0.030290722865315724,0.009345076933861005,0.005055368782421557,0.008092953730367822,0.007797323418665347,0.016838211650242185,0.012083827408162738,0.002247994547343507,0.0025063896947359297,0.0019682049225649557,-0.0009779313619064226,0.002946136284471379,-0.006004562025069965,-0.0025606269960636377,-0.0034439350290063273,0.001818448984974963,-0.00044961863391998475,0.0008523979923104295,0.0010837014204569462,0.0003319682061275649
10,AL,Mobile,0.027740626520230655,0.011145968035542277,0.004077178126608443,0.007456355330057181,0.00506112502802275,0.011031034601308484,0.009064949422808187,0.0010361163476218843,0.0009299688308784039,-0.008579838950016128,-0.006218333742947967,-0.0023615052070681537,-0.0068993799367048905,-0.002955857214972601,-0.00394352272173229,-4.599780446618018e-05,0.001794892402387914,-0.0016431788189602767,0.0003186946573734417,-0.0005164060452672661
11,AL,Montgomery,0.024856507889908744,0.008153798235806566,0.004216428186471557,0.007259419691954892,0.005226861775675711,0.009601162263871477,0.0073309579535291375,0.001298122266462847,0.0009720820438794894,-0.00858682519694258,-0.005301917933054082,-0.003284907263888498,-0.004946306102818668,-0.003013055189699507,-0.0019332509131191609,0.002174169401623696,0.0008024766426157418,3.918225467386405e-06,0.0013721138743494554,-4.3393408088801535e-06
12,AL,Tuscaloosa,0.02353663193245956,0.007228908557885869,0.004194837693557253,0.00594268671535618,0.006170198965660264,0.01022931750637697,0.006805143884393156,0.00210925286817908,0.001314920753804738,-0.005500468898448463,-0.0039311546725515545,-0.0015693142258968935,-0.005759464186495007,-0.002552022553937092,-0.003207441632557928,0.005839036226956723,0.0024513956178777822,-0.0006777920063855206,0.0025073800571108512,0.0015580525583535898
13,AR-MO,Fayetteville-Springdale-Rogers,0.031232864451559855,0.00934417979696088,0.004803846350326763,0.008742423812722628,0.008342414491549585,0.01965250787092909,0.011120663522291796,0.005019268219300132,0.0035125761293371693,-0.0026460811880994195,-0.003739348966646211,0.001093267778546781,-0.008128614769965,-0.00434034645049769,-0.003788268319467311,-0.004650418892792191,0.0001135798890597728,5.5246913318318665e-05,-0.0007180434639612773,-0.004101202231209005
14,AR-OK,Fort Smith,0.033003218947385865,0.01032352330399565,0.004660335817222121,0.010892925354440856,0.0071264344717272285,0.010782159668275644,0.008959350942633434,0.0009753169962855822,0.0008474917293566434,-0.005879033604603179,-0.00501269290245699,-0.0008663407021461851,-0.0030941798918328323,-0.0012706382538296426,-0.0018235416380031828,-0.0047222252563957475,-0.0007972955518713749,-0.0015255789225346456,0.000564117547415862,-0.002963468329405604
15,AR,Hot Springs,0.03720627662165274,0.013208132483715482,0.0039844506575806606,0.012654131511728605,0.0073595619686279935,0.008463753025569941,0.005933809967420482,0.0017939038391751785,0.0007360392189742805,-0.013170773880324518,-0.008359959964471204,-0.004810813915853321,-0.008039453080789237,-0.001427747936692099,-0.0066117051440971325,-0.00047677930314023176,0.001195995326749721,-0.0003809168355599426,0.0001174350980192203,-0.0014092928923492354
16,AR,Jonesboro,0.0322651244770014,0.011959404354220438,0.004842500176307805,0.009287958558308268,0.00617526138816489,0.013406942145792631,0.01059683201871644,0.0017339113826355373,0.001076198744440638,-0.008057382213426556,-0.005171633780346151,-0.002885748433080405,-0.006809918103271612,-0.0038029055089486077,-0.0030070125943230178,-0.00402547726643443,-0.0008619876746745435,-0.0015289472461869347,-0.0002561877396354412,-0.0013783546059375105
17,AR,Little Rock-North Little Rock-Conway,0.03130065438250845,0.01027582607158413,0.004186876806942611,0.009208984929123051,0.007628966574858643,0.01409255134007531,0.009142348085722916,0.002753491358496413,0.0021967118958559906,-0.005504136762664938,-0.005598323075397621,9.418631273269e-05,-0.0033942872090495235,-0.0014088182273681096,-0.001985468981681414,9.793902502730491e-05,0.0005176604313041483,0.00028612788616543683,-8.407944301610376e-05,-0.0006217698494261834
18,AR,Pine Bluff,0.040261185011183566,0.01469672382183014,0.005562710033261758,0.01294162057915553,0.007060130576936143,0.013571373382121443,0.00936788880123305,0.002194210925008865,0.0020092736558795198,0.00021135052258978992,-0.0011517705412689705,0.0013631210638587706,-0.011356166195431757,-0.006546152143634881,-0.0048100140517968746,-0.0038768391403060103,-8.393418590387122e-05,-0.0013448480619693071,-0.0005123932604844325,-0.0019356636319484003
19,AZ,Flagstaff,0.029435044222139856,0.008866584057740136,0.003740754201832012,0.009104102044714173,0.007723603917853519,0.00854181682869512,0.007524818702167298,0.001103232153098297,-8.623402657046905e-05,-0.008078940694104211,-0.005403874963296897,-0.0026750657308073113,-0.00881026950112751,-0.002614258467550264,-0.006196011033577246,-0.0027573099070982154,0.00013093250979875383,-0.0010049106973261462,0.0011994521885209178,-0.0030827839080917532
