,Job Code,Job Title,Job Family,Description
0,00-0000,TOTAL AVERAGE,TOTAL AVERAGE,Average across all occupations
11,11-1011,Chief Executives,Management Occupations,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body.  Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11,11-1021,General and Operations Managers,Management Occupations,"Plan, direct, or coordinate the operations of public or private sector organizations.  Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.  Excludes First-Line Supervisors. "
11,11-2011,Advertising and Promotions Managers,Management Occupations,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11,11-2021,Marketing Managers,Management Occupations,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers.  Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied.  Oversee product development or monitor trends that indicate the need for new products and services."
11,11-2022,Sales Managers,Management Occupations,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer.  Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives.  Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers. "
11,11-2031,Public Relations and Fundraising Managers,Management Occupations,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
11,11-3011,Administrative Services Managers,Management Occupations,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.  Medical records administrators are included in “Medical and Health Services Managers” (11-9111).  Excludes “Purchasing Managers"" (11-3061)."
11,11-3021,Computer and Information Systems Managers,Management Occupations,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.  Excludes “Computer Occupations"" (15-1111 through 15-1199)."
11,11-3031,Financial Managers,Management Occupations,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
