source,target
Visualization,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
Visualization,Visual Color Discrimination
Far Vision,Depth Perception
"Spend Time Climbing Ladders, Scaffolds, or Poles",Exposed to High Places
Wrist-Finger Speed,Control Precision
Written Comprehension,Reading Comprehension
Written Comprehension,Written Expression
Number Facility,Mathematical Reasoning
Electronic Mail,Structured versus Unstructured Work
Electronic Mail,"Indoors, Environmentally Controlled"
Electronic Mail,Spend Time Sitting
Electronic Mail,Telephone
Electronic Mail,Written Expression
Electronic Mail,Interacting With Computers
Electronic Mail,Letters and Memos
Arm-Hand Steadiness,Control Precision
Arm-Hand Steadiness,Manual Dexterity
Operations Analysis,Technology Design
Operations Analysis,Systems Evaluation
In an Open Vehicle or Equipment,Exposed to Whole Body Vibration
In an Open Vehicle or Equipment,"Operating Vehicles, Mechanized Devices, or Equipment"
"Guiding, Directing, and Motivating Subordinates",Coaching and Developing Others
"Guiding, Directing, and Motivating Subordinates",Staffing Organizational Units
"Guiding, Directing, and Motivating Subordinates",Coordinating the Work and Activities of Others
Exposed to High Places,Extremely Bright or Inadequate Lighting
Active Learning,Critical Thinking
Active Learning,Fluency of Ideas
Active Learning,Learning Strategies
Active Learning,Writing
Perceptual Speed,Operation Monitoring
Perceptual Speed,Selective Attention
Perceptual Speed,Flexibility of Closure
Spatial Orientation,Peripheral Vision
Consequence of Error,"Inspecting Equipment, Structures, or Material"
"Inspecting Equipment, Structures, or Material",Controlling Machines and Processes
"Inspecting Equipment, Structures, or Material","Monitor Processes, Materials, or Surroundings"
Depth Perception,Response Orientation
Learning Strategies,Public Speaking
Learning Strategies,Memorization
Learning Strategies,Monitoring
Learning Strategies,Instructing
Getting Information,Updating and Using Relevant Knowledge
Installation,Repairing
"Operating Vehicles, Mechanized Devices, or Equipment",Peripheral Vision
"Operating Vehicles, Mechanized Devices, or Equipment",Very Hot or Cold Temperatures
"Exposed to Minor Burns, Cuts, Bites, or Stings","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Peripheral Vision,Glare Sensitivity
Peripheral Vision,Night Vision
Peripheral Vision,Response Orientation
Visual Color Discrimination,Quality Control Analysis
Deal With Physically Aggressive People,Deal With Unpleasant or Angry People
Deal With Physically Aggressive People,Assisting and Caring for Others
Systems Analysis,Systems Evaluation
Written Expression,Active Listening
Written Expression,Writing
Extremely Bright or Inadequate Lighting,Glare Sensitivity
Exposed to Disease or Infections,Physical Proximity
Exposed to Disease or Infections,Assisting and Caring for Others
Exposed to Disease or Infections,Exposed to Radiation
Trunk Strength,Stamina
Trunk Strength,Spend Time Standing
Dynamic Flexibility,Dynamic Strength
Telephone,Communicating with Persons Outside Organization
Originality,Thinking Creatively
Originality,Fluency of Ideas
Gross Body Equilibrium,Spend Time Keeping or Regaining Balance
Gross Body Equilibrium,Gross Body Coordination
Evaluating Information to Determine Compliance with Standards,Making Decisions and Solving Problems
Operation Monitoring,Hearing Sensitivity
Operation Monitoring,Troubleshooting
Operation Monitoring,Operation and Control
Systems Evaluation,Complex Problem Solving
Systems Evaluation,Provide Consultation and Advice to Others
Level of Competition,Thinking Creatively
"Estimating the Quantifiable Characteristics of Products, Events, or Information","Monitor Processes, Materials, or Surroundings"
Developing and Building Teams,"Communicating with Supervisors, Peers, or Subordinates"
Developing and Building Teams,Coordinating the Work and Activities of Others
Management of Financial Resources,Management of Material Resources
Speech Recognition,Speech Clarity
Spend Time Bending or Twisting the Body,Extent Flexibility
Spend Time Bending or Twisting the Body,"Spend Time Kneeling, Crouching, Stooping, or Crawling"
Provide Consultation and Advice to Others,Developing Objectives and Strategies
In an Enclosed Vehicle or Equipment,"Outdoors, Exposed to Weather"
Processing Information,Analyzing Data or Information
Processing Information,Documenting/Recording Information
Control Precision,Operation and Control
Speaking,Speech Clarity
Speaking,Oral Expression
Equipment Maintenance,Repairing
Equipment Maintenance,Repairing and Maintaining Mechanical Equipment
Equipment Maintenance,Troubleshooting
Auditory Attention,Hearing Sensitivity
Instructing,Training and Teaching Others
Manual Dexterity,Multilimb Coordination
Manual Dexterity,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls"
Manual Dexterity,Finger Dexterity
Contact With Others,Deal With External Customers
Importance of Being Exact or Accurate,Near Vision
Importance of Being Exact or Accurate,Importance of Repeating Same Tasks
Importance of Being Exact or Accurate,Time Pressure
Programming,Interacting With Computers
Mathematical Reasoning,Analyzing Data or Information
Mathematical Reasoning,Mathematics
Social Perceptiveness,Speech Clarity
Social Perceptiveness,Persuasion
Social Perceptiveness,Service Orientation
Social Perceptiveness,Coordination
Social Perceptiveness,Establishing and Maintaining Interpersonal Relationships
Coordinate or Lead Others,Responsibility for Outcomes and Results
Coordinate or Lead Others,Work With Work Group or Team
Spend Time Walking and Running,Spend Time Standing
Operation and Control,Controlling Machines and Processes
Operation and Control,Reaction Time
Performing Administrative Activities,Letters and Memos
Time Management,Management of Personnel Resources
Oral Expression,Oral Comprehension
Dynamic Strength,Stamina
Troubleshooting,Quality Control Analysis
Responsible for Others' Health and Safety,Responsibility for Outcomes and Results
Responsible for Others' Health and Safety,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Judgment and Decision Making,Complex Problem Solving
Resolving Conflicts and Negotiating with Others,Negotiation
Resolving Conflicts and Negotiating with Others,Frequency of Conflict Situations
Exposed to Hazardous Equipment,Reaction Time
Exposed to Hazardous Equipment,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Spend Time Making Repetitive Motions,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls"
Stamina,Speed of Limb Movement
Stamina,Gross Body Coordination
Stamina,Explosive Strength
Stamina,Static Strength
Equipment Selection,Repairing
"Spend Time Kneeling, Crouching, Stooping, or Crawling","Cramped Work Space, Awkward Positions"
Persuasion,Negotiation
Persuasion,Selling or Influencing Others
Frequency of Decision Making,Frequency of Conflict Situations
Frequency of Decision Making,Impact of Decisions on Co-workers or Company Results
Active Listening,Oral Comprehension
Exposed to Contaminants,"Sounds, Noise Levels Are Distracting or Uncomfortable"
Exposed to Contaminants,Exposed to Hazardous Conditions
Exposed to Contaminants,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Management of Material Resources,Monitoring and Controlling Resources
"Indoors, Not Environmentally Controlled",Very Hot or Cold Temperatures
Complex Problem Solving,Critical Thinking
"Outdoors, Under Cover","Outdoors, Exposed to Weather"
Exposed to Hazardous Conditions,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection"
Frequency of Conflict Situations,Deal With Unpleasant or Angry People
Training and Teaching Others,Coaching and Developing Others
Making Decisions and Solving Problems,Updating and Using Relevant Knowledge
Making Decisions and Solving Problems,"Judging the Qualities of Things, Services, or People"
Making Decisions and Solving Problems,"Identifying Objects, Actions, and Events"
Response Orientation,Reaction Time
Science,Inductive Reasoning
Very Hot or Cold Temperatures,"Outdoors, Exposed to Weather"
Interpreting the Meaning of Information for Others,Analyzing Data or Information
Interpreting the Meaning of Information for Others,Updating and Using Relevant Knowledge
Deal With External Customers,Service Orientation
Deal With External Customers,Performing for or Working Directly with the Public
Structured versus Unstructured Work,Freedom to Make Decisions
Time Sharing,Problem Sensitivity
Analyzing Data or Information,Inductive Reasoning
Speed of Closure,Flexibility of Closure
Speed of Closure,Problem Sensitivity
Face-to-Face Discussions,Work With Work Group or Team
Coordination,Management of Personnel Resources
Information Ordering,Near Vision
Information Ordering,Deductive Reasoning
Information Ordering,Category Flexibility
Deductive Reasoning,Critical Thinking
Deductive Reasoning,Inductive Reasoning
Deductive Reasoning,Problem Sensitivity
Staffing Organizational Units,Monitoring and Controlling Resources
Reaction Time,Rate Control
Handling and Moving Objects,Performing General Physical Activities
Rate Control,Pace Determined by Speed of Equipment
Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Electronic Equipment
Night Vision,Sound Localization
Extent Flexibility,Static Strength
Static Strength,Multilimb Coordination
Static Strength,Performing General Physical Activities
Scheduling Work and Activities,Developing Objectives and Strategies
Scheduling Work and Activities,"Organizing, Planning, and Prioritizing Work"
