source,target
Visualization,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
Visualization,Visual Color Discrimination
Far Vision,Hearing Sensitivity
"Spend Time Climbing Ladders, Scaffolds, or Poles",Exposed to High Places
Wrist-Finger Speed,Controlling Machines and Processes
Written Comprehension,Getting Information
Written Comprehension,Written Expression
Written Comprehension,Inductive Reasoning
Number Facility,Mathematical Reasoning
Electronic Mail,Interacting With Computers
Electronic Mail,Written Expression
Electronic Mail,"Indoors, Environmentally Controlled"
Arm-Hand Steadiness,Multilimb Coordination
Arm-Hand Steadiness,Manual Dexterity
Arm-Hand Steadiness,Finger Dexterity
Operations Analysis,Technology Design
In an Open Vehicle or Equipment,Exposed to Whole Body Vibration
In an Open Vehicle or Equipment,Very Hot or Cold Temperatures
"Guiding, Directing, and Motivating Subordinates",Coaching and Developing Others
"Guiding, Directing, and Motivating Subordinates",Management of Personnel Resources
"Guiding, Directing, and Motivating Subordinates",Staffing Organizational Units
"Guiding, Directing, and Motivating Subordinates",Coordinating the Work and Activities of Others
Exposed to High Places,Very Hot or Cold Temperatures
Active Learning,Critical Thinking
Active Learning,Monitoring
Active Learning,Learning Strategies
Active Learning,Time Management
Perceptual Speed,Hearing Sensitivity
Perceptual Speed,Flexibility of Closure
Spatial Orientation,Peripheral Vision
Spatial Orientation,"Operating Vehicles, Mechanized Devices, or Equipment"
Consequence of Error,Operation Monitoring
"Inspecting Equipment, Structures, or Material",Controlling Machines and Processes
Depth Perception,Control Precision
Depth Perception,Visual Color Discrimination
Making Decisions and Solving Problems,Deductive Reasoning
Making Decisions and Solving Problems,"Identifying Objects, Actions, and Events"
Installation,Repairing
Installation,Equipment Selection
"Exposed to Minor Burns, Cuts, Bites, or Stings",Exposed to Hazardous Equipment
Peripheral Vision,Glare Sensitivity
Peripheral Vision,Night Vision
Peripheral Vision,Response Orientation
Problem Sensitivity,Deductive Reasoning
Problem Sensitivity,Impact of Decisions on Co-workers or Company Results
Deal With Physically Aggressive People,Explosive Strength
Deal With Physically Aggressive People,Deal With Unpleasant or Angry People
Systems Analysis,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
Systems Analysis,Systems Evaluation
Written Expression,Oral Expression
Written Expression,Letters and Memos
Written Expression,Writing
Extremely Bright or Inadequate Lighting,Glare Sensitivity
Extremely Bright or Inadequate Lighting,Very Hot or Cold Temperatures
Extremely Bright or Inadequate Lighting,"Cramped Work Space, Awkward Positions"
Exposed to Disease or Infections,Assisting and Caring for Others
Exposed to Disease or Infections,Exposed to Radiation
Trunk Strength,Stamina
Trunk Strength,Spend Time Standing
Dynamic Flexibility,Dynamic Strength
Originality,Thinking Creatively
Originality,Fluency of Ideas
Gross Body Equilibrium,Gross Body Coordination
Evaluating Information to Determine Compliance with Standards,Documenting/Recording Information
Operation Monitoring,Operation and Control
Systems Evaluation,Complex Problem Solving
Level of Competition,Selling or Influencing Others
Coaching and Developing Others,Training and Teaching Others
Developing and Building Teams,"Communicating with Supervisors, Peers, or Subordinates"
Developing and Building Teams,Coordinating the Work and Activities of Others
Management of Financial Resources,Management of Material Resources
Management of Financial Resources,Management of Personnel Resources
Speech Recognition,Speech Clarity
Spend Time Bending or Twisting the Body,Extent Flexibility
Very Hot or Cold Temperatures,"Indoors, Not Environmentally Controlled"
Very Hot or Cold Temperatures,"Outdoors, Exposed to Weather"
Telephone,Letters and Memos
Telephone,Structured versus Unstructured Work
Telephone,Communicating with Persons Outside Organization
In an Enclosed Vehicle or Equipment,"Outdoors, Exposed to Weather"
Processing Information,Analyzing Data or Information
Processing Information,Documenting/Recording Information
Processing Information,Mathematical Reasoning
Control Precision,Controlling Machines and Processes
Control Precision,Rate Control
Control Precision,Manual Dexterity
Speaking,Public Speaking
Speaking,Oral Expression
Speaking,Social Perceptiveness
Speaking,Active Listening
Equipment Maintenance,Repairing
Equipment Maintenance,Operation and Control
Auditory Attention,Hearing Sensitivity
Fluency of Ideas,Category Flexibility
Monitoring,Coordination
Frequency of Decision Making,Impact of Decisions on Co-workers or Company Results
Instructing,Learning Strategies
Manual Dexterity,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls"
Contact With Others,Deal With External Customers
Importance of Being Exact or Accurate,Importance of Repeating Same Tasks
Importance of Being Exact or Accurate,Time Pressure
Programming,Technology Design
Mathematical Reasoning,Mathematics
"Monitor Processes, Materials, or Surroundings","Identifying Objects, Actions, and Events"
Spend Time Sitting,Interacting With Computers
Social Perceptiveness,Persuasion
Social Perceptiveness,Service Orientation
Coordinate or Lead Others,Responsibility for Outcomes and Results
Coordinate or Lead Others,Work With Work Group or Team
Spend Time Walking and Running,Spend Time Standing
Performing Administrative Activities,Letters and Memos
Oral Expression,Speech Clarity
Oral Expression,Oral Comprehension
Dynamic Strength,Static Strength
Troubleshooting,Repairing
Troubleshooting,Quality Control Analysis
Responsible for Others' Health and Safety,Responsibility for Outcomes and Results
Responsible for Others' Health and Safety,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Judgment and Decision Making,Critical Thinking
Resolving Conflicts and Negotiating with Others,Frequency of Conflict Situations
Resolving Conflicts and Negotiating with Others,Establishing and Maintaining Interpersonal Relationships
Performing for or Working Directly with the Public,Deal With External Customers
Performing for or Working Directly with the Public,Assisting and Caring for Others
Spend Time Making Repetitive Motions,"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls"
Spend Time Making Repetitive Motions,Importance of Repeating Same Tasks
Writing,Reading Comprehension
Stamina,Gross Body Coordination
Stamina,Static Strength
Equipment Selection,Technology Design
"Spend Time Kneeling, Crouching, Stooping, or Crawling",Spend Time Keeping or Regaining Balance
"Spend Time Kneeling, Crouching, Stooping, or Crawling",Extent Flexibility
Persuasion,Negotiation
Memorization,Deductive Reasoning
Memorization,Speed of Closure
Exposed to Contaminants,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Reading Comprehension,Critical Thinking
Physical Proximity,Assisting and Caring for Others
Complex Problem Solving,Critical Thinking
Complex Problem Solving,Science
"Outdoors, Under Cover","Outdoors, Exposed to Weather"
Exposed to Hazardous Conditions,"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection"
Exposed to Hazardous Conditions,"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets"
Frequency of Conflict Situations,Deal With Unpleasant or Angry People
Speed of Limb Movement,Gross Body Coordination
Handling and Moving Objects,Performing General Physical Activities
Response Orientation,Reaction Time
Provide Consultation and Advice to Others,Developing Objectives and Strategies
Provide Consultation and Advice to Others,Interpreting the Meaning of Information for Others
Interpreting the Meaning of Information for Others,Analyzing Data or Information
Interpreting the Meaning of Information for Others,Updating and Using Relevant Knowledge
Deal With External Customers,Communicating with Persons Outside Organization
Thinking Creatively,Developing Objectives and Strategies
"Judging the Qualities of Things, Services, or People",Developing Objectives and Strategies
Structured versus Unstructured Work,Freedom to Make Decisions
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets",Exposed to Hazardous Equipment
Time Sharing,Selective Attention
Communicating with Persons Outside Organization,Selling or Influencing Others
Analyzing Data or Information,Deductive Reasoning
Speed of Closure,Selective Attention
Speed of Closure,Flexibility of Closure
Face-to-Face Discussions,Letters and Memos
Information Ordering,Near Vision
Information Ordering,Category Flexibility
Deductive Reasoning,Inductive Reasoning
Speech Clarity,Establishing and Maintaining Interpersonal Relationships
Staffing Organizational Units,Monitoring and Controlling Resources
Reaction Time,Rate Control
Reaction Time,Exposed to Hazardous Equipment
"Sounds, Noise Levels Are Distracting or Uncomfortable",Exposed to Hazardous Equipment
Rate Control,Pace Determined by Speed of Equipment
Coordinating the Work and Activities of Others,Scheduling Work and Activities
Repairing and Maintaining Mechanical Equipment,Repairing
Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Electronic Equipment
Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes
Visual Color Discrimination,Hearing Sensitivity
Night Vision,Sound Localization
Extent Flexibility,Static Strength
Static Strength,Multilimb Coordination
Static Strength,Performing General Physical Activities
Scheduling Work and Activities,Developing Objectives and Strategies
Scheduling Work and Activities,"Organizing, Planning, and Prioritizing Work"
